,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,96,708,0.13559322033898305
1,400,no_priors,no_fit,char,40,SNJ,1,99,707,0.14002828854314003
2,400,no_priors,no_fit,char,40,SNJ,2,73,731,0.09986320109439124
3,400,no_priors,no_fit,char,40,SNJ,3,105,711,0.14767932489451477
4,400,no_priors,no_fit,char,40,SNJ,4,63,735,0.08571428571428572
5,400,no_priors,no_fit,char,40,SNJ,5,93,701,0.1326676176890157
6,400,no_priors,no_fit,char,40,SNJ,6,94,714,0.13165266106442577
7,400,no_priors,no_fit,char,40,SNJ,7,78,720,0.10833333333333334
8,400,no_priors,no_fit,char,40,SNJ,8,98,704,0.13920454545454544
9,400,no_priors,no_fit,char,40,SNJ,9,60,738,0.08130081300813008
10,400,no_priors,no_fit,char,40,SNJ,10,119,675,0.17629629629629628
11,400,no_priors,no_fit,char,40,SNJ,11,71,733,0.09686221009549795
12,400,no_priors,no_fit,char,40,SNJ,12,78,730,0.10684931506849316
13,400,no_priors,no_fit,char,40,SNJ,13,89,711,0.12517580872011252
14,400,no_priors,no_fit,char,40,SNJ,14,87,713,0.12201963534361851
15,400,no_priors,no_fit,char,40,SNJ,15,71,731,0.09712722298221614
16,400,no_priors,no_fit,char,40,SNJ,16,79,719,0.10987482614742698
17,400,no_priors,no_fit,char,40,SNJ,17,126,672,0.1875
18,400,no_priors,no_fit,char,40,SNJ,18,81,717,0.11297071129707113
19,400,no_priors,no_fit,char,40,SNJ,19,72,726,0.09917355371900827
20,400,no_priors,no_fit,char,40,SNJ,20,81,719,0.11265646731571627
21,400,no_priors,no_fit,char,40,SNJ,21,64,738,0.08672086720867209
22,400,no_priors,no_fit,char,40,SNJ,22,112,684,0.16374269005847952
23,400,no_priors,no_fit,char,40,SNJ,23,87,713,0.12201963534361851
24,400,no_priors,no_fit,char,40,SNJ,24,70,734,0.09536784741144415
25,400,no_priors,no_fit,char,40,SNJ,25,75,727,0.1031636863823934
26,400,no_priors,no_fit,char,40,SNJ,26,87,711,0.12236286919831224
27,400,no_priors,no_fit,char,40,SNJ,27,102,700,0.1457142857142857
28,400,no_priors,no_fit,char,40,SNJ,28,99,703,0.14082503556187767
29,400,no_priors,no_fit,char,40,SNJ,29,77,727,0.10591471801925723
30,400,no_priors,no_fit,char,40,SNJ,30,89,715,0.12447552447552447
31,400,no_priors,no_fit,char,40,SNJ,31,75,719,0.1043115438108484
32,400,no_priors,no_fit,char,40,SNJ,32,81,715,0.11328671328671329
33,400,no_priors,no_fit,char,40,SNJ,33,98,700,0.14
34,400,no_priors,no_fit,char,40,SNJ,34,89,713,0.12482468443197756
35,400,no_priors,no_fit,char,40,SNJ,35,99,703,0.14082503556187767
36,400,no_priors,no_fit,char,40,SNJ,36,94,716,0.13128491620111732
37,400,no_priors,no_fit,char,40,SNJ,37,92,708,0.12994350282485875
38,400,no_priors,no_fit,char,40,SNJ,38,90,710,0.1267605633802817
39,400,no_priors,no_fit,char,40,SNJ,39,71,723,0.09820193637621023
40,400,no_priors,no_fit,char,40,SNJ,40,109,695,0.15683453237410072
41,400,no_priors,no_fit,char,40,SNJ,41,78,730,0.10684931506849316
42,400,no_priors,no_fit,char,40,SNJ,42,102,700,0.1457142857142857
43,400,no_priors,no_fit,char,40,SNJ,43,95,705,0.1347517730496454
44,400,no_priors,no_fit,char,40,SNJ,44,82,716,0.11452513966480447
45,400,no_priors,no_fit,char,40,SNJ,45,72,728,0.0989010989010989
46,400,no_priors,no_fit,char,40,SNJ,46,69,729,0.09465020576131687
47,400,no_priors,no_fit,char,40,SNJ,47,101,697,0.1449067431850789
48,400,no_priors,no_fit,char,40,SNJ,48,77,729,0.1056241426611797
49,400,no_priors,no_fit,char,40,SNJ,49,88,708,0.12429378531073447
