,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,0,794,0.0
1,400,no_priors,no_fit,char,40,SNJ,1,0,794,0.0
2,400,no_priors,no_fit,char,40,SNJ,2,0,794,0.0
3,400,no_priors,no_fit,char,40,SNJ,3,0,794,0.0
4,400,no_priors,no_fit,char,40,SNJ,4,0,794,0.0
5,400,no_priors,no_fit,char,40,SNJ,5,0,794,0.0
6,400,no_priors,no_fit,char,40,SNJ,6,0,794,0.0
7,400,no_priors,no_fit,char,40,SNJ,7,0,794,0.0
8,400,no_priors,no_fit,char,40,SNJ,8,0,794,0.0
9,400,no_priors,no_fit,char,40,SNJ,9,0,794,0.0
10,400,no_priors,no_fit,char,40,SNJ,10,0,794,0.0
11,400,no_priors,no_fit,char,40,SNJ,11,0,794,0.0
12,400,no_priors,no_fit,char,40,SNJ,12,0,794,0.0
13,400,no_priors,no_fit,char,40,SNJ,13,0,794,0.0
14,400,no_priors,no_fit,char,40,SNJ,14,0,794,0.0
15,400,no_priors,no_fit,char,40,SNJ,15,0,794,0.0
16,400,no_priors,no_fit,char,40,SNJ,16,0,794,0.0
17,400,no_priors,no_fit,char,40,SNJ,17,0,794,0.0
18,400,no_priors,no_fit,char,40,SNJ,18,0,794,0.0
19,400,no_priors,no_fit,char,40,SNJ,19,0,794,0.0
20,400,no_priors,no_fit,char,40,SNJ,20,0,794,0.0
21,400,no_priors,no_fit,char,40,SNJ,21,0,794,0.0
22,400,no_priors,no_fit,char,40,SNJ,22,0,794,0.0
23,400,no_priors,no_fit,char,40,SNJ,23,0,794,0.0
24,400,no_priors,no_fit,char,40,SNJ,24,0,794,0.0
25,400,no_priors,no_fit,char,40,SNJ,25,0,794,0.0
26,400,no_priors,no_fit,char,40,SNJ,26,0,794,0.0
27,400,no_priors,no_fit,char,40,SNJ,27,0,794,0.0
28,400,no_priors,no_fit,char,40,SNJ,28,0,794,0.0
29,400,no_priors,no_fit,char,40,SNJ,29,0,794,0.0
30,400,no_priors,no_fit,char,40,SNJ,30,2,794,0.0025188916876574307
31,400,no_priors,no_fit,char,40,SNJ,31,0,794,0.0
32,400,no_priors,no_fit,char,40,SNJ,32,0,794,0.0
33,400,no_priors,no_fit,char,40,SNJ,33,0,794,0.0
34,400,no_priors,no_fit,char,40,SNJ,34,0,794,0.0
35,400,no_priors,no_fit,char,40,SNJ,35,0,794,0.0
36,400,no_priors,no_fit,char,40,SNJ,36,0,794,0.0
37,400,no_priors,no_fit,char,40,SNJ,37,0,794,0.0
38,400,no_priors,no_fit,char,40,SNJ,38,0,794,0.0
39,400,no_priors,no_fit,char,40,SNJ,39,0,794,0.0
40,400,no_priors,no_fit,char,40,SNJ,40,0,794,0.0
41,400,no_priors,no_fit,char,40,SNJ,41,0,794,0.0
42,400,no_priors,no_fit,char,40,SNJ,42,0,794,0.0
43,400,no_priors,no_fit,char,40,SNJ,43,0,794,0.0
44,400,no_priors,no_fit,char,40,SNJ,44,0,794,0.0
45,400,no_priors,no_fit,char,40,SNJ,45,0,794,0.0
46,400,no_priors,no_fit,char,40,SNJ,46,0,794,0.0
47,400,no_priors,no_fit,char,40,SNJ,47,0,794,0.0
48,400,no_priors,no_fit,char,40,SNJ,48,0,794,0.0
49,400,no_priors,no_fit,char,40,SNJ,49,0,794,0.0
