,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,89,709,0.12552891396332863
1,400,no_priors,no_fit,char,40,SNJ,1,85,709,0.11988716502115655
2,400,no_priors,no_fit,char,40,SNJ,2,61,733,0.08321964529331514
3,400,no_priors,no_fit,char,40,SNJ,3,86,708,0.12146892655367232
4,400,no_priors,no_fit,char,40,SNJ,4,56,738,0.07588075880758807
5,400,no_priors,no_fit,char,40,SNJ,5,94,700,0.13428571428571429
6,400,no_priors,no_fit,char,40,SNJ,6,78,716,0.10893854748603352
7,400,no_priors,no_fit,char,40,SNJ,7,71,723,0.09820193637621023
8,400,no_priors,no_fit,char,40,SNJ,8,90,704,0.1278409090909091
9,400,no_priors,no_fit,char,40,SNJ,9,53,741,0.07152496626180836
10,400,no_priors,no_fit,char,40,SNJ,10,119,677,0.1757754800590842
11,400,no_priors,no_fit,char,40,SNJ,11,59,735,0.08027210884353742
12,400,no_priors,no_fit,char,40,SNJ,12,64,730,0.08767123287671233
13,400,no_priors,no_fit,char,40,SNJ,13,83,713,0.11640953716690042
14,400,no_priors,no_fit,char,40,SNJ,14,83,713,0.11640953716690042
15,400,no_priors,no_fit,char,40,SNJ,15,61,733,0.08321964529331514
16,400,no_priors,no_fit,char,40,SNJ,16,71,723,0.09820193637621023
17,400,no_priors,no_fit,char,40,SNJ,17,118,676,0.17455621301775148
18,400,no_priors,no_fit,char,40,SNJ,18,76,718,0.10584958217270195
19,400,no_priors,no_fit,char,40,SNJ,19,65,729,0.08916323731138547
20,400,no_priors,no_fit,char,40,SNJ,20,77,719,0.1070931849791377
21,400,no_priors,no_fit,char,40,SNJ,21,57,737,0.0773405698778833
22,400,no_priors,no_fit,char,40,SNJ,22,106,688,0.15406976744186046
23,400,no_priors,no_fit,char,40,SNJ,23,81,713,0.11360448807854137
24,400,no_priors,no_fit,char,40,SNJ,24,59,735,0.08027210884353742
25,400,no_priors,no_fit,char,40,SNJ,25,69,725,0.09517241379310344
26,400,no_priors,no_fit,char,40,SNJ,26,81,713,0.11360448807854137
27,400,no_priors,no_fit,char,40,SNJ,27,93,701,0.1326676176890157
28,400,no_priors,no_fit,char,40,SNJ,28,91,705,0.12907801418439716
29,400,no_priors,no_fit,char,40,SNJ,29,68,728,0.09340659340659341
30,400,no_priors,no_fit,char,40,SNJ,30,81,715,0.11328671328671329
31,400,no_priors,no_fit,char,40,SNJ,31,75,719,0.1043115438108484
32,400,no_priors,no_fit,char,40,SNJ,32,78,718,0.10863509749303621
33,400,no_priors,no_fit,char,40,SNJ,33,93,701,0.1326676176890157
34,400,no_priors,no_fit,char,40,SNJ,34,80,716,0.11173184357541899
35,400,no_priors,no_fit,char,40,SNJ,35,91,705,0.12907801418439716
36,400,no_priors,no_fit,char,40,SNJ,36,78,716,0.10893854748603352
37,400,no_priors,no_fit,char,40,SNJ,37,86,708,0.12146892655367232
38,400,no_priors,no_fit,char,40,SNJ,38,85,709,0.11988716502115655
39,400,no_priors,no_fit,char,40,SNJ,39,71,725,0.09793103448275862
40,400,no_priors,no_fit,char,40,SNJ,40,99,695,0.14244604316546763
41,400,no_priors,no_fit,char,40,SNJ,41,69,727,0.09491059147180192
42,400,no_priors,no_fit,char,40,SNJ,42,94,700,0.13428571428571429
43,400,no_priors,no_fit,char,40,SNJ,43,89,705,0.12624113475177304
44,400,no_priors,no_fit,char,40,SNJ,44,76,718,0.10584958217270195
45,400,no_priors,no_fit,char,40,SNJ,45,65,731,0.08891928864569083
46,400,no_priors,no_fit,char,40,SNJ,46,66,730,0.09041095890410959
47,400,no_priors,no_fit,char,40,SNJ,47,97,697,0.13916786226685796
48,400,no_priors,no_fit,char,40,SNJ,48,63,731,0.08618331053351573
49,400,no_priors,no_fit,char,40,SNJ,49,85,709,0.11988716502115655
