,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,651,651,1.0
1,400,no_priors,no_fit,char,40,SNJ,1,634,634,1.0
2,400,no_priors,no_fit,char,40,SNJ,2,665,665,1.0
3,400,no_priors,no_fit,char,40,SNJ,3,664,664,1.0
4,400,no_priors,no_fit,char,40,SNJ,4,659,663,0.9939668174962293
5,400,no_priors,no_fit,char,40,SNJ,5,651,651,1.0
6,400,no_priors,no_fit,char,40,SNJ,6,663,663,1.0
7,400,no_priors,no_fit,char,40,SNJ,7,651,651,1.0
8,400,no_priors,no_fit,char,40,SNJ,8,666,666,1.0
9,400,no_priors,no_fit,char,40,SNJ,9,660,660,1.0
10,400,no_priors,no_fit,char,40,SNJ,10,646,646,1.0
11,400,no_priors,no_fit,char,40,SNJ,11,658,658,1.0
12,400,no_priors,no_fit,char,40,SNJ,12,650,650,1.0
13,400,no_priors,no_fit,char,40,SNJ,13,655,655,1.0
14,400,no_priors,no_fit,char,40,SNJ,14,666,666,1.0
15,400,no_priors,no_fit,char,40,SNJ,15,657,657,1.0
16,400,no_priors,no_fit,char,40,SNJ,16,642,642,1.0
17,400,no_priors,no_fit,char,40,SNJ,17,644,644,1.0
18,400,no_priors,no_fit,char,40,SNJ,18,651,651,1.0
19,400,no_priors,no_fit,char,40,SNJ,19,659,659,1.0
20,400,no_priors,no_fit,char,40,SNJ,20,652,654,0.9969418960244648
21,400,no_priors,no_fit,char,40,SNJ,21,658,658,1.0
22,400,no_priors,no_fit,char,40,SNJ,22,656,656,1.0
23,400,no_priors,no_fit,char,40,SNJ,23,644,644,1.0
24,400,no_priors,no_fit,char,40,SNJ,24,637,639,0.9968701095461658
25,400,no_priors,no_fit,char,40,SNJ,25,655,655,1.0
26,400,no_priors,no_fit,char,40,SNJ,26,643,645,0.9968992248062015
27,400,no_priors,no_fit,char,40,SNJ,27,651,653,0.996937212863706
28,400,no_priors,no_fit,char,40,SNJ,28,665,665,1.0
29,400,no_priors,no_fit,char,40,SNJ,29,664,664,1.0
30,400,no_priors,no_fit,char,40,SNJ,30,649,649,1.0
31,400,no_priors,no_fit,char,40,SNJ,31,652,652,1.0
32,400,no_priors,no_fit,char,40,SNJ,32,641,641,1.0
33,400,no_priors,no_fit,char,40,SNJ,33,648,648,1.0
34,400,no_priors,no_fit,char,40,SNJ,34,665,667,0.9970014992503748
35,400,no_priors,no_fit,char,40,SNJ,35,660,660,1.0
36,400,no_priors,no_fit,char,40,SNJ,36,651,651,1.0
37,400,no_priors,no_fit,char,40,SNJ,37,655,655,1.0
38,400,no_priors,no_fit,char,40,SNJ,38,667,667,1.0
39,400,no_priors,no_fit,char,40,SNJ,39,652,652,1.0
40,400,no_priors,no_fit,char,40,SNJ,40,657,657,1.0
41,400,no_priors,no_fit,char,40,SNJ,41,661,663,0.9969834087481146
42,400,no_priors,no_fit,char,40,SNJ,42,662,662,1.0
43,400,no_priors,no_fit,char,40,SNJ,43,653,653,1.0
44,400,no_priors,no_fit,char,40,SNJ,44,642,646,0.9938080495356038
45,400,no_priors,no_fit,char,40,SNJ,45,647,649,0.9969183359013868
46,400,no_priors,no_fit,char,40,SNJ,46,656,656,1.0
47,400,no_priors,no_fit,char,40,SNJ,47,657,657,1.0
48,400,no_priors,no_fit,char,40,SNJ,48,657,657,1.0
49,400,no_priors,no_fit,char,40,SNJ,49,644,646,0.9969040247678018
