,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,275,707,0.38896746817538896
1,400,no_priors,no_fit,char,40,SNJ,1,272,694,0.3919308357348703
2,400,no_priors,no_fit,char,40,SNJ,2,245,701,0.34950071326676174
3,400,no_priors,no_fit,char,40,SNJ,3,274,702,0.3903133903133903
4,400,no_priors,no_fit,char,40,SNJ,4,219,717,0.3054393305439331
5,400,no_priors,no_fit,char,40,SNJ,5,313,699,0.44778254649499283
6,400,no_priors,no_fit,char,40,SNJ,6,251,723,0.34716459197787
7,400,no_priors,no_fit,char,40,SNJ,7,224,710,0.3154929577464789
8,400,no_priors,no_fit,char,40,SNJ,8,333,709,0.4696755994358251
9,400,no_priors,no_fit,char,40,SNJ,9,182,726,0.25068870523415976
10,400,no_priors,no_fit,char,40,SNJ,10,280,678,0.41297935103244837
11,400,no_priors,no_fit,char,40,SNJ,11,258,718,0.3593314763231198
12,400,no_priors,no_fit,char,40,SNJ,12,226,720,0.3138888888888889
13,400,no_priors,no_fit,char,40,SNJ,13,279,701,0.3980028530670471
14,400,no_priors,no_fit,char,40,SNJ,14,267,697,0.3830703012912482
15,400,no_priors,no_fit,char,40,SNJ,15,213,733,0.29058663028649384
16,400,no_priors,no_fit,char,40,SNJ,16,238,712,0.3342696629213483
17,400,no_priors,no_fit,char,40,SNJ,17,300,662,0.45317220543806647
18,400,no_priors,no_fit,char,40,SNJ,18,270,700,0.38571428571428573
19,400,no_priors,no_fit,char,40,SNJ,19,225,717,0.3138075313807531
20,400,no_priors,no_fit,char,40,SNJ,20,244,712,0.34269662921348315
21,400,no_priors,no_fit,char,40,SNJ,21,231,719,0.32127955493741306
22,400,no_priors,no_fit,char,40,SNJ,22,316,674,0.4688427299703264
23,400,no_priors,no_fit,char,40,SNJ,23,289,701,0.4122681883024251
24,400,no_priors,no_fit,char,40,SNJ,24,222,724,0.30662983425414364
25,400,no_priors,no_fit,char,40,SNJ,25,220,718,0.3064066852367688
26,400,no_priors,no_fit,char,40,SNJ,26,287,693,0.41414141414141414
27,400,no_priors,no_fit,char,40,SNJ,27,298,696,0.4281609195402299
28,400,no_priors,no_fit,char,40,SNJ,28,293,709,0.4132581100141044
29,400,no_priors,no_fit,char,40,SNJ,29,229,717,0.3193863319386332
30,400,no_priors,no_fit,char,40,SNJ,30,224,710,0.3154929577464789
31,400,no_priors,no_fit,char,40,SNJ,31,279,711,0.3924050632911392
32,400,no_priors,no_fit,char,40,SNJ,32,248,712,0.34831460674157305
33,400,no_priors,no_fit,char,40,SNJ,33,313,705,0.44397163120567373
34,400,no_priors,no_fit,char,40,SNJ,34,248,708,0.3502824858757062
35,400,no_priors,no_fit,char,40,SNJ,35,259,705,0.36737588652482267
36,400,no_priors,no_fit,char,40,SNJ,36,308,708,0.4350282485875706
37,400,no_priors,no_fit,char,40,SNJ,37,288,702,0.41025641025641024
38,400,no_priors,no_fit,char,40,SNJ,38,256,694,0.3688760806916426
39,400,no_priors,no_fit,char,40,SNJ,39,215,715,0.3006993006993007
40,400,no_priors,no_fit,char,40,SNJ,40,319,699,0.4563662374821173
41,400,no_priors,no_fit,char,40,SNJ,41,237,717,0.3305439330543933
42,400,no_priors,no_fit,char,40,SNJ,42,339,683,0.49633967789165445
43,400,no_priors,no_fit,char,40,SNJ,43,255,703,0.3627311522048364
44,400,no_priors,no_fit,char,40,SNJ,44,268,700,0.38285714285714284
45,400,no_priors,no_fit,char,40,SNJ,45,236,724,0.3259668508287293
46,400,no_priors,no_fit,char,40,SNJ,46,228,722,0.3157894736842105
47,400,no_priors,no_fit,char,40,SNJ,47,305,691,0.44138929088277856
48,400,no_priors,no_fit,char,40,SNJ,48,232,734,0.31607629427792916
49,400,no_priors,no_fit,char,40,SNJ,49,254,706,0.3597733711048159
