,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,1.0
1,400,no_priors,no_fit,char,40,SNJ,0,1,1.0
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.476
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.775
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.867
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.632
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.828
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.853
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.659
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.908
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.831
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.646
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.391
13,400,no_priors,no_fit,char,40,SNJ,1,0,1.0
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.49
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.979
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.918
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.831
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.807
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.434
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.403
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.929
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.55
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.704
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.68
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.68
26,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.755
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.772
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.537
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.596
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.729
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.707
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.794
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.628
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.684
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.568
37,400,no_priors,no_fit,char,40,SNJ,3,0,1.0
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.514
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.646
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.756
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.857
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.491
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.738
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.882
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.679
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.664
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.834
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.755
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.445
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.865
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.955
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.982
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.85
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.939
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.602
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.806
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.835
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.493
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.822
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.945
61,400,no_priors,no_fit,char,40,SNJ,5,0,1.0
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.841
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.554
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.834
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.71
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.721
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.703
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.605
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.656
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.703
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.675
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.552
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.789
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.993
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.739
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.804
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.861
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.809
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.39
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.87
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.719
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.506
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.589
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.669
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.625
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.342
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.687
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.996
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.532
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.743
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.7
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.705
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.634
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.674
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.643
