,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,398,674,0.5905044510385756
1,400,no_priors,no_fit,char,40,SNJ,1,382,684,0.5584795321637427
2,400,no_priors,no_fit,char,40,SNJ,2,376,688,0.5465116279069767
3,400,no_priors,no_fit,char,40,SNJ,3,380,668,0.5688622754491018
4,400,no_priors,no_fit,char,40,SNJ,4,343,695,0.4935251798561151
5,400,no_priors,no_fit,char,40,SNJ,5,408,678,0.6017699115044248
6,400,no_priors,no_fit,char,40,SNJ,6,376,678,0.5545722713864307
7,400,no_priors,no_fit,char,40,SNJ,7,366,692,0.5289017341040463
8,400,no_priors,no_fit,char,40,SNJ,8,383,675,0.5674074074074074
9,400,no_priors,no_fit,char,40,SNJ,9,324,710,0.4563380281690141
10,400,no_priors,no_fit,char,40,SNJ,10,403,675,0.597037037037037
11,400,no_priors,no_fit,char,40,SNJ,11,371,685,0.5416058394160584
12,400,no_priors,no_fit,char,40,SNJ,12,335,699,0.4792560801144492
13,400,no_priors,no_fit,char,40,SNJ,13,408,682,0.5982404692082112
14,400,no_priors,no_fit,char,40,SNJ,14,403,685,0.5883211678832116
15,400,no_priors,no_fit,char,40,SNJ,15,324,700,0.46285714285714286
16,400,no_priors,no_fit,char,40,SNJ,16,351,673,0.5215453194650818
17,400,no_priors,no_fit,char,40,SNJ,17,444,656,0.676829268292683
18,400,no_priors,no_fit,char,40,SNJ,18,367,679,0.540500736377025
19,400,no_priors,no_fit,char,40,SNJ,19,325,699,0.46494992846924177
20,400,no_priors,no_fit,char,40,SNJ,20,366,684,0.5350877192982456
21,400,no_priors,no_fit,char,40,SNJ,21,348,700,0.49714285714285716
22,400,no_priors,no_fit,char,40,SNJ,22,436,668,0.6526946107784432
23,400,no_priors,no_fit,char,40,SNJ,23,396,666,0.5945945945945946
24,400,no_priors,no_fit,char,40,SNJ,24,336,676,0.4970414201183432
25,400,no_priors,no_fit,char,40,SNJ,25,324,694,0.4668587896253602
26,400,no_priors,no_fit,char,40,SNJ,26,433,681,0.6358296622613803
27,400,no_priors,no_fit,char,40,SNJ,27,399,661,0.6036308623298033
28,400,no_priors,no_fit,char,40,SNJ,28,419,677,0.6189069423929099
29,400,no_priors,no_fit,char,40,SNJ,29,371,703,0.5277382645803699
30,400,no_priors,no_fit,char,40,SNJ,30,345,693,0.49783549783549785
31,400,no_priors,no_fit,char,40,SNJ,31,365,699,0.5221745350500715
32,400,no_priors,no_fit,char,40,SNJ,32,355,681,0.5212922173274597
33,400,no_priors,no_fit,char,40,SNJ,33,410,674,0.6083086053412463
34,400,no_priors,no_fit,char,40,SNJ,34,321,679,0.4727540500736377
35,400,no_priors,no_fit,char,40,SNJ,35,377,693,0.5440115440115441
36,400,no_priors,no_fit,char,40,SNJ,36,403,693,0.5815295815295816
37,400,no_priors,no_fit,char,40,SNJ,37,396,686,0.577259475218659
38,400,no_priors,no_fit,char,40,SNJ,38,371,661,0.5612708018154312
39,400,no_priors,no_fit,char,40,SNJ,39,357,691,0.516642547033285
40,400,no_priors,no_fit,char,40,SNJ,40,415,671,0.6184798807749627
41,400,no_priors,no_fit,char,40,SNJ,41,354,692,0.5115606936416185
42,400,no_priors,no_fit,char,40,SNJ,42,431,659,0.65402124430956
43,400,no_priors,no_fit,char,40,SNJ,43,350,678,0.5162241887905604
44,400,no_priors,no_fit,char,40,SNJ,44,332,682,0.4868035190615836
45,400,no_priors,no_fit,char,40,SNJ,45,299,695,0.4302158273381295
46,400,no_priors,no_fit,char,40,SNJ,46,356,674,0.5281899109792285
47,400,no_priors,no_fit,char,40,SNJ,47,401,669,0.5994020926756353
48,400,no_priors,no_fit,char,40,SNJ,48,307,687,0.4468704512372635
49,400,no_priors,no_fit,char,40,SNJ,49,335,673,0.49777117384843983
