,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.5
1,400,no_priors,no_fit,char,40,SNJ,0,1,0.722
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.599
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.644
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.684
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.594
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.634
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.707
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.483
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.848
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.725
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.867
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.11
13,400,no_priors,no_fit,char,40,SNJ,1,0,0.989
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.273
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.428
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.662
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.838
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.773
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.475
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.373
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.928
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.534
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.848
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.479
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.934
26,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.841
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.678
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.5
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.511
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.662
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.746
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.658
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.575
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.587
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.512
37,400,no_priors,no_fit,char,40,SNJ,3,0,0.834
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.627
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.626
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.767
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.808
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.495
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.683
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.863
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.422
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.519
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.556
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.439
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.416
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.84
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.913
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.877
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.876
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.866
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.523
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.578
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.649
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.709
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.429
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.756
61,400,no_priors,no_fit,char,40,SNJ,5,0,0.844
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.748
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.473
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.813
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.52
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.646
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.687
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.632
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.55
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.527
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.715
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.531
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.776
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.911
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.589
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.739
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.707
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.617
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.366
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.789
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.731
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.47
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.364
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.467
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.392
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.467
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.358
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.668
89,400,no_priors,no_fit,char,40,SNJ,7,2,1.0
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.963
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.615
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.67
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.474
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.502
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.643
96,400,no_priors,no_fit,char,40,SNJ,7,9,0.477
97,400,no_priors,no_fit,char,40,SNJ,7,10,0.5
98,400,no_priors,no_fit,char,40,SNJ,7,11,0.699
99,400,no_priors,no_fit,char,40,SNJ,8,0,0.901
100,400,no_priors,no_fit,char,40,SNJ,8,1,0.87
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.531
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.464
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.562
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.62
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.651
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.651
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.467
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.626
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.783
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.369
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.753
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.862
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.901
