,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.668
1,400,no_priors,no_fit,char,40,SNJ,0,1,1.0
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.795
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.722
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.992
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.843
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.974
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.966
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.891
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.959
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.921
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.887
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.436
13,400,no_priors,no_fit,char,40,SNJ,1,0,1.0
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.927
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.588
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.703
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.878
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.915
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.831
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.658
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.944
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.861
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.948
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.886
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.696
26,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.882
28,400,no_priors,no_fit,char,40,SNJ,2,3,1.0
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.989
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.802
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.863
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.913
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.9
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.817
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.897
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.83
37,400,no_priors,no_fit,char,40,SNJ,3,0,0.694
38,400,no_priors,no_fit,char,40,SNJ,3,1,1.0
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.665
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.813
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.943
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.601
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.755
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.958
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.867
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.806
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.842
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.901
49,400,no_priors,no_fit,char,40,SNJ,4,0,1.0
50,400,no_priors,no_fit,char,40,SNJ,4,1,1.0
51,400,no_priors,no_fit,char,40,SNJ,4,2,1.0
52,400,no_priors,no_fit,char,40,SNJ,4,3,1.0
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.97
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.989
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.942
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.899
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.936
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.535
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.865
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.989
61,400,no_priors,no_fit,char,40,SNJ,5,0,1.0
62,400,no_priors,no_fit,char,40,SNJ,5,1,1.0
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.833
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.998
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.496
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.812
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.875
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.768
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.895
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.905
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.729
