,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,1.0
1,400,no_priors,no_fit,char,40,SNJ,0,1,1.0
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.491
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.685
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.812
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.628
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.835
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.89
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.725
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.907
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.891
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.85
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.337
13,400,no_priors,no_fit,char,40,SNJ,1,0,1.0
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.482
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.935
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.913
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.828
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.845
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.386
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.432
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.929
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.53
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.613
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.682
25,400,no_priors,no_fit,char,40,SNJ,2,0,1.0
26,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.814
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.688
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.396
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.54
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.736
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.753
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.827
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.62
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.687
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.59
37,400,no_priors,no_fit,char,40,SNJ,3,0,1.0
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.5
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.655
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.766
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.875
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.502
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.741
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.863
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.551
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.717
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.776
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.854
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.463
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.873
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.966
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.989
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.932
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.949
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.615
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.827
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.852
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.533
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.829
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.948
61,400,no_priors,no_fit,char,40,SNJ,5,0,1.0
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.99
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.458
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.83
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.644
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.781
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.847
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.694
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.762
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.69
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.674
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.544
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.787
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.993
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.766
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.815
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.858
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.807
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.404
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.828
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.697
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.585
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.62
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.691
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.61
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.448
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.633
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.99
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.626
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.712
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.639
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.844
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.737
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.75
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.665
