,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,1.0
1,400,no_priors,no_fit,char,40,SNJ,0,1,1.0
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.519
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.788
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.867
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.673
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.805
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.85
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.656
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.895
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.857
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.654
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.34
13,400,no_priors,no_fit,char,40,SNJ,1,0,1.0
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.485
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.973
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.915
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.847
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.827
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.452
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.424
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.953
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.566
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.687
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.692
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.693
26,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.8
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.764
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.497
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.609
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.722
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.666
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.823
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.595
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.671
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.552
37,400,no_priors,no_fit,char,40,SNJ,3,0,1.0
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.477
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.627
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.767
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.872
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.511
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.722
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.866
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.693
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.704
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.828
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.754
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.413
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.883
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.968
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.976
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.866
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.942
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.624
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.833
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.821
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.508
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.825
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.945
61,400,no_priors,no_fit,char,40,SNJ,5,0,1.0
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.837
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.561
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.825
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.715
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.739
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.71
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.591
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.66
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.702
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.653
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.535
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.776
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.988
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.737
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.809
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.853
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.79
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.386
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.871
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.732
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.53
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.549
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.637
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.662
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.36
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.642
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.996
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.528
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.726
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.707
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.743
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.644
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.638
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.608
