,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.336
1,400,no_priors,no_fit,char,40,SNJ,0,1,0.772
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.334
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.432
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.436
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.664
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.808
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.469
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.478
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.586
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.533
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.418
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.246
13,400,no_priors,no_fit,char,40,SNJ,1,0,0.99
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.427
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.524
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.591
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.601
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.661
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.342
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.348
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.436
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.447
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.485
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.291
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.335
26,400,no_priors,no_fit,char,40,SNJ,2,1,0.517
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.5
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.503
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.522
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.372
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.444
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.403
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.374
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.283
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.249
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.323
37,400,no_priors,no_fit,char,40,SNJ,3,0,0.875
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.275
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.492
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.531
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.503
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.303
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.526
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.435
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.394
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.397
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.67
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.334
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.328
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.389
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.548
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.487
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.418
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.526
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.605
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.266
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.466
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.332
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.556
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.606
61,400,no_priors,no_fit,char,40,SNJ,5,0,0.829
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.549
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.528
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.668
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.261
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.486
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.285
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.367
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.455
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.387
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.333
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.219
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.22
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.188
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.403
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.652
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.555
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.256
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.31
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.467
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.521
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.35
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.389
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.463
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.431
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.281
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.151
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.171
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.225
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.393
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.453
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.485
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.292
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.507
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.454
96,400,no_priors,no_fit,char,40,SNJ,7,9,0.346
97,400,no_priors,no_fit,char,40,SNJ,7,10,0.269
98,400,no_priors,no_fit,char,40,SNJ,7,11,0.38
99,400,no_priors,no_fit,char,40,SNJ,8,0,0.213
100,400,no_priors,no_fit,char,40,SNJ,8,1,0.315
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.418
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.399
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.415
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.64
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.585
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.356
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.367
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.429
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.457
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.314
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.216
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.263
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.24
114,400,no_priors,no_fit,char,40,SNJ,9,3,0.411
115,400,no_priors,no_fit,char,40,SNJ,9,4,0.519
116,400,no_priors,no_fit,char,40,SNJ,9,5,0.64
117,400,no_priors,no_fit,char,40,SNJ,9,6,0.522
118,400,no_priors,no_fit,char,40,SNJ,9,7,0.449
119,400,no_priors,no_fit,char,40,SNJ,9,8,0.599
120,400,no_priors,no_fit,char,40,SNJ,9,9,0.434
121,400,no_priors,no_fit,char,40,SNJ,9,10,0.417
122,400,no_priors,no_fit,char,40,SNJ,9,11,0.514
123,400,no_priors,no_fit,char,40,SNJ,10,0,0.499
124,400,no_priors,no_fit,char,40,SNJ,10,1,0.331
125,400,no_priors,no_fit,char,40,SNJ,10,2,0.336
126,400,no_priors,no_fit,char,40,SNJ,10,3,0.375
127,400,no_priors,no_fit,char,40,SNJ,10,4,0.456
128,400,no_priors,no_fit,char,40,SNJ,10,5,0.613
129,400,no_priors,no_fit,char,40,SNJ,10,6,0.47
130,400,no_priors,no_fit,char,40,SNJ,10,7,0.453
131,400,no_priors,no_fit,char,40,SNJ,10,8,0.588
132,400,no_priors,no_fit,char,40,SNJ,10,9,0.334
133,400,no_priors,no_fit,char,40,SNJ,10,10,0.419
134,400,no_priors,no_fit,char,40,SNJ,10,11,0.431
135,400,no_priors,no_fit,char,40,SNJ,10,12,0.255
136,400,no_priors,no_fit,char,40,SNJ,10,13,0.277
137,400,no_priors,no_fit,char,40,SNJ,11,0,0.388
138,400,no_priors,no_fit,char,40,SNJ,11,1,0.317
139,400,no_priors,no_fit,char,40,SNJ,11,2,0.423
140,400,no_priors,no_fit,char,40,SNJ,11,3,0.541
141,400,no_priors,no_fit,char,40,SNJ,11,4,0.795
142,400,no_priors,no_fit,char,40,SNJ,11,5,0.728
143,400,no_priors,no_fit,char,40,SNJ,11,6,0.322
144,400,no_priors,no_fit,char,40,SNJ,11,7,0.37
145,400,no_priors,no_fit,char,40,SNJ,11,8,0.477
146,400,no_priors,no_fit,char,40,SNJ,11,9,0.55
147,400,no_priors,no_fit,char,40,SNJ,11,10,0.271
148,400,no_priors,no_fit,char,40,SNJ,11,11,0.48
149,400,no_priors,no_fit,char,40,SNJ,11,12,0.536
150,400,no_priors,no_fit,char,40,SNJ,12,0,0.249
151,400,no_priors,no_fit,char,40,SNJ,12,1,0.304
152,400,no_priors,no_fit,char,40,SNJ,12,2,0.537
153,400,no_priors,no_fit,char,40,SNJ,12,3,0.424
154,400,no_priors,no_fit,char,40,SNJ,12,4,0.487
155,400,no_priors,no_fit,char,40,SNJ,12,5,0.489
156,400,no_priors,no_fit,char,40,SNJ,12,6,0.405
157,400,no_priors,no_fit,char,40,SNJ,12,7,0.412
158,400,no_priors,no_fit,char,40,SNJ,12,8,0.365
159,400,no_priors,no_fit,char,40,SNJ,12,9,0.35
160,400,no_priors,no_fit,char,40,SNJ,12,10,0.232
161,400,no_priors,no_fit,char,40,SNJ,12,11,0.304
162,400,no_priors,no_fit,char,40,SNJ,13,0,0.247
163,400,no_priors,no_fit,char,40,SNJ,13,1,0.37
164,400,no_priors,no_fit,char,40,SNJ,13,2,0.553
165,400,no_priors,no_fit,char,40,SNJ,13,3,0.513
166,400,no_priors,no_fit,char,40,SNJ,13,4,0.544
167,400,no_priors,no_fit,char,40,SNJ,13,5,0.667
168,400,no_priors,no_fit,char,40,SNJ,13,6,0.421
169,400,no_priors,no_fit,char,40,SNJ,13,7,0.602
170,400,no_priors,no_fit,char,40,SNJ,13,8,0.502
171,400,no_priors,no_fit,char,40,SNJ,13,9,0.587
172,400,no_priors,no_fit,char,40,SNJ,13,10,0.621
173,400,no_priors,no_fit,char,40,SNJ,13,11,0.621
174,400,no_priors,no_fit,char,40,SNJ,13,12,0.515
175,400,no_priors,no_fit,char,40,SNJ,14,0,0.533
176,400,no_priors,no_fit,char,40,SNJ,14,1,0.34
177,400,no_priors,no_fit,char,40,SNJ,14,2,0.549
178,400,no_priors,no_fit,char,40,SNJ,14,3,0.574
179,400,no_priors,no_fit,char,40,SNJ,14,4,0.32
180,400,no_priors,no_fit,char,40,SNJ,14,5,0.331
181,400,no_priors,no_fit,char,40,SNJ,14,6,0.331
182,400,no_priors,no_fit,char,40,SNJ,14,7,0.441
183,400,no_priors,no_fit,char,40,SNJ,14,8,0.449
184,400,no_priors,no_fit,char,40,SNJ,14,9,0.545
185,400,no_priors,no_fit,char,40,SNJ,14,10,0.515
186,400,no_priors,no_fit,char,40,SNJ,14,11,0.451
187,400,no_priors,no_fit,char,40,SNJ,14,12,0.492
188,400,no_priors,no_fit,char,40,SNJ,14,13,0.356
189,400,no_priors,no_fit,char,40,SNJ,15,0,0.109
190,400,no_priors,no_fit,char,40,SNJ,15,1,0.215
191,400,no_priors,no_fit,char,40,SNJ,15,2,0.328
192,400,no_priors,no_fit,char,40,SNJ,15,3,0.354
193,400,no_priors,no_fit,char,40,SNJ,15,4,0.51
194,400,no_priors,no_fit,char,40,SNJ,15,5,0.427
195,400,no_priors,no_fit,char,40,SNJ,15,6,0.529
196,400,no_priors,no_fit,char,40,SNJ,15,7,0.379
197,400,no_priors,no_fit,char,40,SNJ,15,8,0.294
198,400,no_priors,no_fit,char,40,SNJ,15,9,0.328
199,400,no_priors,no_fit,char,40,SNJ,15,10,0.374
200,400,no_priors,no_fit,char,40,SNJ,15,11,0.371
201,400,no_priors,no_fit,char,40,SNJ,16,0,0.258
202,400,no_priors,no_fit,char,40,SNJ,16,1,0.232
203,400,no_priors,no_fit,char,40,SNJ,16,2,0.416
204,400,no_priors,no_fit,char,40,SNJ,16,3,0.527
205,400,no_priors,no_fit,char,40,SNJ,16,4,0.575
206,400,no_priors,no_fit,char,40,SNJ,16,5,0.341
207,400,no_priors,no_fit,char,40,SNJ,16,6,0.407
208,400,no_priors,no_fit,char,40,SNJ,16,7,0.391
209,400,no_priors,no_fit,char,40,SNJ,16,8,0.537
210,400,no_priors,no_fit,char,40,SNJ,16,9,0.364
211,400,no_priors,no_fit,char,40,SNJ,16,10,0.278
212,400,no_priors,no_fit,char,40,SNJ,17,0,0.565
213,400,no_priors,no_fit,char,40,SNJ,17,1,0.301
214,400,no_priors,no_fit,char,40,SNJ,17,2,0.673
215,400,no_priors,no_fit,char,40,SNJ,17,3,0.4
216,400,no_priors,no_fit,char,40,SNJ,17,4,0.464
217,400,no_priors,no_fit,char,40,SNJ,17,5,0.381
218,400,no_priors,no_fit,char,40,SNJ,17,6,0.383
219,400,no_priors,no_fit,char,40,SNJ,17,7,0.515
220,400,no_priors,no_fit,char,40,SNJ,17,8,0.385
221,400,no_priors,no_fit,char,40,SNJ,17,9,0.364
222,400,no_priors,no_fit,char,40,SNJ,17,10,0.369
223,400,no_priors,no_fit,char,40,SNJ,17,11,0.268
224,400,no_priors,no_fit,char,40,SNJ,18,0,0.097
225,400,no_priors,no_fit,char,40,SNJ,18,1,0.176
226,400,no_priors,no_fit,char,40,SNJ,18,2,0.336
227,400,no_priors,no_fit,char,40,SNJ,18,3,0.406
228,400,no_priors,no_fit,char,40,SNJ,18,4,0.463
229,400,no_priors,no_fit,char,40,SNJ,18,5,0.688
230,400,no_priors,no_fit,char,40,SNJ,18,6,0.42
231,400,no_priors,no_fit,char,40,SNJ,18,7,0.405
232,400,no_priors,no_fit,char,40,SNJ,18,8,0.325
233,400,no_priors,no_fit,char,40,SNJ,18,9,0.471
234,400,no_priors,no_fit,char,40,SNJ,18,10,0.373
235,400,no_priors,no_fit,char,40,SNJ,18,11,0.746
236,400,no_priors,no_fit,char,40,SNJ,18,12,0.346
237,400,no_priors,no_fit,char,40,SNJ,19,0,0.511
238,400,no_priors,no_fit,char,40,SNJ,19,1,0.503
239,400,no_priors,no_fit,char,40,SNJ,19,2,0.518
240,400,no_priors,no_fit,char,40,SNJ,19,3,0.566
241,400,no_priors,no_fit,char,40,SNJ,19,4,0.55
242,400,no_priors,no_fit,char,40,SNJ,19,5,0.574
243,400,no_priors,no_fit,char,40,SNJ,19,6,0.548
244,400,no_priors,no_fit,char,40,SNJ,19,7,0.567
245,400,no_priors,no_fit,char,40,SNJ,19,8,0.487
246,400,no_priors,no_fit,char,40,SNJ,19,9,0.388
247,400,no_priors,no_fit,char,40,SNJ,19,10,0.366
248,400,no_priors,no_fit,char,40,SNJ,19,11,0.275
249,400,no_priors,no_fit,char,40,SNJ,20,0,0.336
250,400,no_priors,no_fit,char,40,SNJ,20,1,0.455
251,400,no_priors,no_fit,char,40,SNJ,20,2,0.363
252,400,no_priors,no_fit,char,40,SNJ,20,3,0.501
253,400,no_priors,no_fit,char,40,SNJ,20,4,0.415
254,400,no_priors,no_fit,char,40,SNJ,20,5,0.411
255,400,no_priors,no_fit,char,40,SNJ,20,6,0.551
256,400,no_priors,no_fit,char,40,SNJ,20,7,0.73
257,400,no_priors,no_fit,char,40,SNJ,20,8,0.696
258,400,no_priors,no_fit,char,40,SNJ,20,9,0.799
259,400,no_priors,no_fit,char,40,SNJ,20,10,0.619
260,400,no_priors,no_fit,char,40,SNJ,20,11,0.938
261,400,no_priors,no_fit,char,40,SNJ,20,12,0.841
262,400,no_priors,no_fit,char,40,SNJ,21,0,0.188
263,400,no_priors,no_fit,char,40,SNJ,21,1,0.278
264,400,no_priors,no_fit,char,40,SNJ,21,2,0.273
265,400,no_priors,no_fit,char,40,SNJ,21,3,0.52
266,400,no_priors,no_fit,char,40,SNJ,21,4,0.665
267,400,no_priors,no_fit,char,40,SNJ,21,5,0.588
268,400,no_priors,no_fit,char,40,SNJ,21,6,0.448
269,400,no_priors,no_fit,char,40,SNJ,21,7,0.275
270,400,no_priors,no_fit,char,40,SNJ,21,8,0.459
271,400,no_priors,no_fit,char,40,SNJ,21,9,0.317
272,400,no_priors,no_fit,char,40,SNJ,21,10,0.322
273,400,no_priors,no_fit,char,40,SNJ,21,11,0.473
274,400,no_priors,no_fit,char,40,SNJ,21,12,0.223
275,400,no_priors,no_fit,char,40,SNJ,21,13,0.346
276,400,no_priors,no_fit,char,40,SNJ,22,0,0.725
277,400,no_priors,no_fit,char,40,SNJ,22,1,0.412
278,400,no_priors,no_fit,char,40,SNJ,22,2,0.345
279,400,no_priors,no_fit,char,40,SNJ,22,3,0.532
280,400,no_priors,no_fit,char,40,SNJ,22,4,0.438
281,400,no_priors,no_fit,char,40,SNJ,22,5,0.496
282,400,no_priors,no_fit,char,40,SNJ,22,6,0.571
283,400,no_priors,no_fit,char,40,SNJ,22,7,0.285
284,400,no_priors,no_fit,char,40,SNJ,22,8,0.288
285,400,no_priors,no_fit,char,40,SNJ,22,9,0.499
286,400,no_priors,no_fit,char,40,SNJ,22,10,0.532
287,400,no_priors,no_fit,char,40,SNJ,22,11,0.321
288,400,no_priors,no_fit,char,40,SNJ,22,12,0.303
289,400,no_priors,no_fit,char,40,SNJ,23,0,0.882
290,400,no_priors,no_fit,char,40,SNJ,23,1,0.232
291,400,no_priors,no_fit,char,40,SNJ,23,2,0.335
292,400,no_priors,no_fit,char,40,SNJ,23,3,0.51
293,400,no_priors,no_fit,char,40,SNJ,23,4,0.585
294,400,no_priors,no_fit,char,40,SNJ,23,5,0.505
295,400,no_priors,no_fit,char,40,SNJ,23,6,0.382
296,400,no_priors,no_fit,char,40,SNJ,23,7,0.429
297,400,no_priors,no_fit,char,40,SNJ,23,8,0.33
298,400,no_priors,no_fit,char,40,SNJ,23,9,0.542
299,400,no_priors,no_fit,char,40,SNJ,23,10,0.382
300,400,no_priors,no_fit,char,40,SNJ,24,0,0.16
301,400,no_priors,no_fit,char,40,SNJ,24,1,0.266
302,400,no_priors,no_fit,char,40,SNJ,24,2,0.434
303,400,no_priors,no_fit,char,40,SNJ,24,3,0.477
304,400,no_priors,no_fit,char,40,SNJ,24,4,0.378
305,400,no_priors,no_fit,char,40,SNJ,24,5,0.36
306,400,no_priors,no_fit,char,40,SNJ,24,6,0.889
307,400,no_priors,no_fit,char,40,SNJ,24,7,0.444
308,400,no_priors,no_fit,char,40,SNJ,24,8,0.457
309,400,no_priors,no_fit,char,40,SNJ,24,9,0.526
310,400,no_priors,no_fit,char,40,SNJ,24,10,0.446
311,400,no_priors,no_fit,char,40,SNJ,24,11,0.316
312,400,no_priors,no_fit,char,40,SNJ,24,12,0.339
313,400,no_priors,no_fit,char,40,SNJ,25,0,0.441
314,400,no_priors,no_fit,char,40,SNJ,25,1,0.394
315,400,no_priors,no_fit,char,40,SNJ,25,2,0.422
316,400,no_priors,no_fit,char,40,SNJ,25,3,0.467
317,400,no_priors,no_fit,char,40,SNJ,25,4,0.655
318,400,no_priors,no_fit,char,40,SNJ,25,5,0.463
319,400,no_priors,no_fit,char,40,SNJ,25,6,0.383
320,400,no_priors,no_fit,char,40,SNJ,25,7,0.587
321,400,no_priors,no_fit,char,40,SNJ,25,8,0.504
322,400,no_priors,no_fit,char,40,SNJ,25,9,0.503
323,400,no_priors,no_fit,char,40,SNJ,25,10,0.404
324,400,no_priors,no_fit,char,40,SNJ,26,0,0.237
325,400,no_priors,no_fit,char,40,SNJ,26,1,0.446
326,400,no_priors,no_fit,char,40,SNJ,26,2,0.545
327,400,no_priors,no_fit,char,40,SNJ,26,3,0.392
328,400,no_priors,no_fit,char,40,SNJ,26,4,0.463
329,400,no_priors,no_fit,char,40,SNJ,26,5,0.494
330,400,no_priors,no_fit,char,40,SNJ,26,6,0.265
331,400,no_priors,no_fit,char,40,SNJ,26,7,0.328
332,400,no_priors,no_fit,char,40,SNJ,26,8,0.421
333,400,no_priors,no_fit,char,40,SNJ,26,9,0.415
334,400,no_priors,no_fit,char,40,SNJ,26,10,0.359
335,400,no_priors,no_fit,char,40,SNJ,27,0,0.493
