,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.492
1,400,no_priors,no_fit,char,40,SNJ,0,1,0.71
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.612
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.658
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.661
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.571
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.622
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.692
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.528
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.87
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.725
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.865
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.101
13,400,no_priors,no_fit,char,40,SNJ,1,0,0.992
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.251
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.441
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.646
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.823
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.791
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.437
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.37
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.922
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.558
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.83
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.496
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.923
26,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.83
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.687
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.491
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.501
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.655
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.69
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.65
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.609
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.582
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.509
37,400,no_priors,no_fit,char,40,SNJ,3,0,0.825
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.587
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.636
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.773
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.789
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.508
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.73
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.87
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.406
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.573
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.57
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.44
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.426
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.846
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.902
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.866
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.863
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.838
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.498
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.571
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.656
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.713
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.441
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.777
61,400,no_priors,no_fit,char,40,SNJ,5,0,0.864
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.727
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.486
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.803
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.514
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.635
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.705
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.646
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.561
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.533
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.686
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.547
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.768
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.922
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.595
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.729
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.705
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.632
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.354
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.779
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.74
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.441
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.346
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.464
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.382
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.473
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.359
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.632
89,400,no_priors,no_fit,char,40,SNJ,7,2,1.0
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.968
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.638
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.661
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.47
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.507
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.605
96,400,no_priors,no_fit,char,40,SNJ,7,9,0.496
97,400,no_priors,no_fit,char,40,SNJ,7,10,0.494
98,400,no_priors,no_fit,char,40,SNJ,7,11,0.699
99,400,no_priors,no_fit,char,40,SNJ,8,0,0.901
100,400,no_priors,no_fit,char,40,SNJ,8,1,0.872
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.512
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.439
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.56
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.613
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.627
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.655
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.48
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.634
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.767
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.388
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.724
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.858
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.891
114,400,no_priors,no_fit,char,40,SNJ,9,3,0.743
115,400,no_priors,no_fit,char,40,SNJ,9,4,0.869
116,400,no_priors,no_fit,char,40,SNJ,9,5,0.866
117,400,no_priors,no_fit,char,40,SNJ,9,6,0.642
118,400,no_priors,no_fit,char,40,SNJ,9,7,0.59
119,400,no_priors,no_fit,char,40,SNJ,9,8,0.827
120,400,no_priors,no_fit,char,40,SNJ,9,9,0.71
121,400,no_priors,no_fit,char,40,SNJ,9,10,0.701
