,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,1.0
1,400,no_priors,no_fit,char,40,SNJ,0,1,1.0
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.794
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.759
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.982
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.844
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.973
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.967
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.883
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.961
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.91
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.89
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.403
13,400,no_priors,no_fit,char,40,SNJ,1,0,1.0
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.914
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.587
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.673
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.878
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.894
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.831
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.628
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.958
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.878
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.953
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.901
25,400,no_priors,no_fit,char,40,SNJ,2,0,1.0
26,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.862
28,400,no_priors,no_fit,char,40,SNJ,2,3,1.0
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.99
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.815
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.882
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.906
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.933
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.867
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.873
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.782
37,400,no_priors,no_fit,char,40,SNJ,3,0,1.0
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.906
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.66
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.798
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.955
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.642
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.759
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.959
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.834
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.816
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.873
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.88
49,400,no_priors,no_fit,char,40,SNJ,4,0,1.0
50,400,no_priors,no_fit,char,40,SNJ,4,1,1.0
51,400,no_priors,no_fit,char,40,SNJ,4,2,1.0
52,400,no_priors,no_fit,char,40,SNJ,4,3,1.0
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.965
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.987
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.937
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.926
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.921
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.519
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.843
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.99
61,400,no_priors,no_fit,char,40,SNJ,5,0,1.0
62,400,no_priors,no_fit,char,40,SNJ,5,1,1.0
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.874
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.998
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.514
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.82
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.881
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.783
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.883
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.893
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.718
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.555
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.806
74,400,no_priors,no_fit,char,40,SNJ,6,2,1.0
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.968
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.992
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.94
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.841
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.411
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.894
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.889
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.64
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.661
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.851
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.881
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.514
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.667
88,400,no_priors,no_fit,char,40,SNJ,7,1,1.0
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.741
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.977
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.874
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.998
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.775
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.862
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.846
