,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.221
1,400,no_priors,no_fit,char,40,SNJ,0,1,0.242
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.223
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.246
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.219
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.24
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.226
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.212
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.226
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.223
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.338
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.367
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.103
13,400,no_priors,no_fit,char,40,SNJ,1,0,0.256
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.347
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.266
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.324
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.311
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.254
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.256
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.282
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.267
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.265
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.279
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.356
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.144
26,400,no_priors,no_fit,char,40,SNJ,2,1,0.165
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.168
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.146
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.15
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.154
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.156
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.147
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.147
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.18
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.172
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.207
37,400,no_priors,no_fit,char,40,SNJ,3,0,0.233
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.261
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.259
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.24
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.224
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.265
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.255
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.26
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.227
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.261
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.313
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.197
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.137
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.143
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.126
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.139
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.131
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.134
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.129
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.128
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.121
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.173
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.146
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.118
61,400,no_priors,no_fit,char,40,SNJ,5,0,0.265
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.263
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.272
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.247
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.24
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.236
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.263
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.274
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.286
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.305
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.255
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.104
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.093
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.11
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.111
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.112
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.098
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.099
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.094
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.097
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.101
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.092
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.102
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.076
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.086
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.187
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.058
