,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,227,1195,0.1899581589958159
1,400,no_priors,no_fit,char,40,SNJ,1,36,288,0.125
2,400,no_priors,no_fit,char,40,SNJ,2,251,1481,0.16948008102633355
3,400,no_priors,no_fit,char,40,SNJ,3,151,833,0.18127250900360145
4,400,no_priors,no_fit,char,40,SNJ,4,34,222,0.15315315315315314
5,400,no_priors,no_fit,char,40,SNJ,5,50,234,0.21367521367521367
6,400,no_priors,no_fit,char,40,SNJ,6,141,839,0.16805721096543505
7,400,no_priors,no_fit,char,40,SNJ,7,52,286,0.18181818181818182
8,400,no_priors,no_fit,char,40,SNJ,8,126,620,0.2032258064516129
9,400,no_priors,no_fit,char,40,SNJ,9,97,403,0.24069478908188585
10,400,no_priors,no_fit,char,40,SNJ,10,190,1070,0.17757009345794392
11,400,no_priors,no_fit,char,40,SNJ,11,382,2006,0.19042871385842472
12,400,no_priors,no_fit,char,40,SNJ,12,186,1058,0.17580340264650285
13,400,no_priors,no_fit,char,40,SNJ,13,265,1539,0.17218973359324236
14,400,no_priors,no_fit,char,40,SNJ,14,30,120,0.25
15,400,no_priors,no_fit,char,40,SNJ,15,67,455,0.14725274725274726
16,400,no_priors,no_fit,char,40,SNJ,16,44,250,0.176
17,400,no_priors,no_fit,char,40,SNJ,17,120,812,0.1477832512315271
18,400,no_priors,no_fit,char,40,SNJ,18,30,202,0.1485148514851485
19,400,no_priors,no_fit,char,40,SNJ,19,33,207,0.15942028985507245
20,400,no_priors,no_fit,char,40,SNJ,20,26,202,0.12871287128712872
21,400,no_priors,no_fit,char,40,SNJ,21,124,748,0.1657754010695187
22,400,no_priors,no_fit,char,40,SNJ,22,353,2035,0.17346437346437346
23,400,no_priors,no_fit,char,40,SNJ,23,174,1168,0.14897260273972604
24,400,no_priors,no_fit,char,40,SNJ,24,52,310,0.16774193548387098
25,400,no_priors,no_fit,char,40,SNJ,25,39,237,0.16455696202531644
26,400,no_priors,no_fit,char,40,SNJ,26,62,398,0.15577889447236182
27,400,no_priors,no_fit,char,40,SNJ,27,136,726,0.18732782369146006
28,400,no_priors,no_fit,char,40,SNJ,28,91,517,0.1760154738878143
29,400,no_priors,no_fit,char,40,SNJ,29,139,919,0.1512513601741023
30,400,no_priors,no_fit,char,40,SNJ,30,217,1253,0.17318435754189945
31,400,no_priors,no_fit,char,40,SNJ,31,152,886,0.17155756207674944
32,400,no_priors,no_fit,char,40,SNJ,32,67,341,0.19648093841642228
33,400,no_priors,no_fit,char,40,SNJ,33,15,83,0.18072289156626506
34,400,no_priors,no_fit,char,40,SNJ,34,38,266,0.14285714285714285
35,400,no_priors,no_fit,char,40,SNJ,35,214,1162,0.18416523235800344
36,400,no_priors,no_fit,char,40,SNJ,36,133,695,0.19136690647482013
37,400,no_priors,no_fit,char,40,SNJ,37,100,510,0.19607843137254902
38,400,no_priors,no_fit,char,40,SNJ,38,51,411,0.12408759124087591
39,400,no_priors,no_fit,char,40,SNJ,39,141,731,0.19288645690834474
40,400,no_priors,no_fit,char,40,SNJ,40,97,531,0.18267419962335216
41,400,no_priors,no_fit,char,40,SNJ,41,81,451,0.17960088691796008
42,400,no_priors,no_fit,char,40,SNJ,42,135,631,0.21394611727416799
43,400,no_priors,no_fit,char,40,SNJ,43,201,1053,0.1908831908831909
44,400,no_priors,no_fit,char,40,SNJ,44,274,1722,0.15911730545876887
45,400,no_priors,no_fit,char,40,SNJ,45,41,203,0.2019704433497537
46,400,no_priors,no_fit,char,40,SNJ,46,207,1205,0.17178423236514523
47,400,no_priors,no_fit,char,40,SNJ,47,303,1631,0.18577559779276517
48,400,no_priors,no_fit,char,40,SNJ,48,22,138,0.15942028985507245
49,400,no_priors,no_fit,char,40,SNJ,49,154,774,0.19896640826873385
