,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.589
1,400,no_priors,no_fit,char,40,SNJ,0,1,0.96
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.985
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.908
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.899
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.683
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.726
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.871
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.762
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.868
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.917
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.905
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.754
13,400,no_priors,no_fit,char,40,SNJ,0,13,0.511
14,400,no_priors,no_fit,char,40,SNJ,1,0,0.735
15,400,no_priors,no_fit,char,40,SNJ,1,1,1.0
16,400,no_priors,no_fit,char,40,SNJ,1,2,0.834
17,400,no_priors,no_fit,char,40,SNJ,1,3,0.9
18,400,no_priors,no_fit,char,40,SNJ,1,4,0.85
19,400,no_priors,no_fit,char,40,SNJ,1,5,0.758
20,400,no_priors,no_fit,char,40,SNJ,1,6,0.794
21,400,no_priors,no_fit,char,40,SNJ,1,7,0.551
22,400,no_priors,no_fit,char,40,SNJ,2,0,1.0
23,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
24,400,no_priors,no_fit,char,40,SNJ,2,2,0.817
25,400,no_priors,no_fit,char,40,SNJ,2,3,0.948
26,400,no_priors,no_fit,char,40,SNJ,2,4,0.702
27,400,no_priors,no_fit,char,40,SNJ,2,5,0.982
28,400,no_priors,no_fit,char,40,SNJ,2,6,0.576
29,400,no_priors,no_fit,char,40,SNJ,2,7,0.835
30,400,no_priors,no_fit,char,40,SNJ,2,8,0.676
31,400,no_priors,no_fit,char,40,SNJ,2,9,0.746
32,400,no_priors,no_fit,char,40,SNJ,2,10,0.776
33,400,no_priors,no_fit,char,40,SNJ,2,11,0.838
34,400,no_priors,no_fit,char,40,SNJ,2,12,0.692
35,400,no_priors,no_fit,char,40,SNJ,2,13,0.764
36,400,no_priors,no_fit,char,40,SNJ,3,0,0.739
37,400,no_priors,no_fit,char,40,SNJ,3,1,0.936
38,400,no_priors,no_fit,char,40,SNJ,3,2,1.0
39,400,no_priors,no_fit,char,40,SNJ,3,3,0.703
40,400,no_priors,no_fit,char,40,SNJ,3,4,0.997
41,400,no_priors,no_fit,char,40,SNJ,3,5,0.973
42,400,no_priors,no_fit,char,40,SNJ,3,6,0.967
43,400,no_priors,no_fit,char,40,SNJ,3,7,0.71
44,400,no_priors,no_fit,char,40,SNJ,3,8,0.73
45,400,no_priors,no_fit,char,40,SNJ,3,9,0.81
46,400,no_priors,no_fit,char,40,SNJ,3,10,0.925
47,400,no_priors,no_fit,char,40,SNJ,3,11,0.807
48,400,no_priors,no_fit,char,40,SNJ,4,0,1.0
49,400,no_priors,no_fit,char,40,SNJ,4,1,0.804
50,400,no_priors,no_fit,char,40,SNJ,4,2,0.808
51,400,no_priors,no_fit,char,40,SNJ,4,3,0.613
52,400,no_priors,no_fit,char,40,SNJ,4,4,0.985
53,400,no_priors,no_fit,char,40,SNJ,4,5,0.911
54,400,no_priors,no_fit,char,40,SNJ,4,6,0.653
55,400,no_priors,no_fit,char,40,SNJ,4,7,0.569
56,400,no_priors,no_fit,char,40,SNJ,4,8,0.672
57,400,no_priors,no_fit,char,40,SNJ,4,9,0.924
58,400,no_priors,no_fit,char,40,SNJ,5,0,1.0
59,400,no_priors,no_fit,char,40,SNJ,5,1,0.473
60,400,no_priors,no_fit,char,40,SNJ,5,2,0.341
61,400,no_priors,no_fit,char,40,SNJ,5,3,0.469
62,400,no_priors,no_fit,char,40,SNJ,5,4,0.698
63,400,no_priors,no_fit,char,40,SNJ,5,5,0.78
64,400,no_priors,no_fit,char,40,SNJ,5,6,0.697
65,400,no_priors,no_fit,char,40,SNJ,5,7,0.709
66,400,no_priors,no_fit,char,40,SNJ,5,8,0.938
67,400,no_priors,no_fit,char,40,SNJ,6,0,0.752
68,400,no_priors,no_fit,char,40,SNJ,6,1,0.713
69,400,no_priors,no_fit,char,40,SNJ,6,2,0.962
70,400,no_priors,no_fit,char,40,SNJ,6,3,0.996
71,400,no_priors,no_fit,char,40,SNJ,6,4,0.658
72,400,no_priors,no_fit,char,40,SNJ,6,5,0.652
73,400,no_priors,no_fit,char,40,SNJ,6,6,0.62
74,400,no_priors,no_fit,char,40,SNJ,6,7,0.423
75,400,no_priors,no_fit,char,40,SNJ,6,8,0.632
76,400,no_priors,no_fit,char,40,SNJ,6,9,0.659
77,400,no_priors,no_fit,char,40,SNJ,6,10,0.848
78,400,no_priors,no_fit,char,40,SNJ,6,11,0.884
79,400,no_priors,no_fit,char,40,SNJ,6,12,0.72
80,400,no_priors,no_fit,char,40,SNJ,6,13,0.673
81,400,no_priors,no_fit,char,40,SNJ,6,14,0.963
82,400,no_priors,no_fit,char,40,SNJ,7,0,1.0
83,400,no_priors,no_fit,char,40,SNJ,7,1,0.916
84,400,no_priors,no_fit,char,40,SNJ,7,2,0.945
85,400,no_priors,no_fit,char,40,SNJ,7,3,0.806
86,400,no_priors,no_fit,char,40,SNJ,7,4,0.733
87,400,no_priors,no_fit,char,40,SNJ,7,5,0.862
88,400,no_priors,no_fit,char,40,SNJ,7,6,0.744
89,400,no_priors,no_fit,char,40,SNJ,7,7,0.628
90,400,no_priors,no_fit,char,40,SNJ,7,8,0.847
91,400,no_priors,no_fit,char,40,SNJ,8,0,0.594
92,400,no_priors,no_fit,char,40,SNJ,8,1,0.716
93,400,no_priors,no_fit,char,40,SNJ,8,2,0.838
94,400,no_priors,no_fit,char,40,SNJ,8,3,0.9
95,400,no_priors,no_fit,char,40,SNJ,8,4,0.593
96,400,no_priors,no_fit,char,40,SNJ,8,5,0.545
97,400,no_priors,no_fit,char,40,SNJ,8,6,0.903
98,400,no_priors,no_fit,char,40,SNJ,8,7,0.923
99,400,no_priors,no_fit,char,40,SNJ,8,8,0.435
100,400,no_priors,no_fit,char,40,SNJ,8,9,0.746
101,400,no_priors,no_fit,char,40,SNJ,8,10,0.623
102,400,no_priors,no_fit,char,40,SNJ,9,0,1.0
103,400,no_priors,no_fit,char,40,SNJ,9,1,1.0
104,400,no_priors,no_fit,char,40,SNJ,9,2,0.539
105,400,no_priors,no_fit,char,40,SNJ,9,3,0.604
106,400,no_priors,no_fit,char,40,SNJ,9,4,0.997
107,400,no_priors,no_fit,char,40,SNJ,9,5,0.936
108,400,no_priors,no_fit,char,40,SNJ,9,6,0.748
109,400,no_priors,no_fit,char,40,SNJ,9,7,0.741
110,400,no_priors,no_fit,char,40,SNJ,9,8,0.705
111,400,no_priors,no_fit,char,40,SNJ,9,9,0.755
112,400,no_priors,no_fit,char,40,SNJ,9,10,0.608
113,400,no_priors,no_fit,char,40,SNJ,10,0,0.823
114,400,no_priors,no_fit,char,40,SNJ,10,1,0.99
115,400,no_priors,no_fit,char,40,SNJ,10,2,1.0
116,400,no_priors,no_fit,char,40,SNJ,10,3,0.58
117,400,no_priors,no_fit,char,40,SNJ,10,4,0.91
118,400,no_priors,no_fit,char,40,SNJ,10,5,0.897
119,400,no_priors,no_fit,char,40,SNJ,10,6,0.701
120,400,no_priors,no_fit,char,40,SNJ,10,7,0.677
121,400,no_priors,no_fit,char,40,SNJ,10,8,0.789
122,400,no_priors,no_fit,char,40,SNJ,10,9,0.853
123,400,no_priors,no_fit,char,40,SNJ,10,10,0.741
124,400,no_priors,no_fit,char,40,SNJ,10,11,0.879
125,400,no_priors,no_fit,char,40,SNJ,10,12,0.483
126,400,no_priors,no_fit,char,40,SNJ,10,13,0.507
127,400,no_priors,no_fit,char,40,SNJ,10,14,0.627
128,400,no_priors,no_fit,char,40,SNJ,11,0,0.743
129,400,no_priors,no_fit,char,40,SNJ,11,1,0.666
130,400,no_priors,no_fit,char,40,SNJ,11,2,0.848
131,400,no_priors,no_fit,char,40,SNJ,11,3,0.977
132,400,no_priors,no_fit,char,40,SNJ,11,4,0.671
133,400,no_priors,no_fit,char,40,SNJ,11,5,0.626
134,400,no_priors,no_fit,char,40,SNJ,11,6,0.667
135,400,no_priors,no_fit,char,40,SNJ,11,7,0.853
136,400,no_priors,no_fit,char,40,SNJ,11,8,0.761
137,400,no_priors,no_fit,char,40,SNJ,11,9,0.927
138,400,no_priors,no_fit,char,40,SNJ,11,10,0.742
139,400,no_priors,no_fit,char,40,SNJ,11,11,0.796
140,400,no_priors,no_fit,char,40,SNJ,11,12,0.729
141,400,no_priors,no_fit,char,40,SNJ,11,13,0.864
142,400,no_priors,no_fit,char,40,SNJ,11,14,0.624
143,400,no_priors,no_fit,char,40,SNJ,12,0,1.0
144,400,no_priors,no_fit,char,40,SNJ,12,1,1.0
145,400,no_priors,no_fit,char,40,SNJ,12,2,0.565
146,400,no_priors,no_fit,char,40,SNJ,12,3,0.806
147,400,no_priors,no_fit,char,40,SNJ,12,4,0.992
148,400,no_priors,no_fit,char,40,SNJ,12,5,0.356
149,400,no_priors,no_fit,char,40,SNJ,12,6,0.37
150,400,no_priors,no_fit,char,40,SNJ,12,7,0.712
151,400,no_priors,no_fit,char,40,SNJ,12,8,0.704
152,400,no_priors,no_fit,char,40,SNJ,12,9,0.94
153,400,no_priors,no_fit,char,40,SNJ,12,10,0.874
154,400,no_priors,no_fit,char,40,SNJ,12,11,0.701
155,400,no_priors,no_fit,char,40,SNJ,12,12,0.664
156,400,no_priors,no_fit,char,40,SNJ,12,13,0.753
157,400,no_priors,no_fit,char,40,SNJ,12,14,0.87
158,400,no_priors,no_fit,char,40,SNJ,12,15,0.742
159,400,no_priors,no_fit,char,40,SNJ,13,0,0.879
160,400,no_priors,no_fit,char,40,SNJ,13,1,0.38
161,400,no_priors,no_fit,char,40,SNJ,13,2,0.803
162,400,no_priors,no_fit,char,40,SNJ,13,3,0.917
163,400,no_priors,no_fit,char,40,SNJ,13,4,0.414
164,400,no_priors,no_fit,char,40,SNJ,13,5,0.365
165,400,no_priors,no_fit,char,40,SNJ,13,6,0.645
166,400,no_priors,no_fit,char,40,SNJ,13,7,0.893
167,400,no_priors,no_fit,char,40,SNJ,13,8,0.837
168,400,no_priors,no_fit,char,40,SNJ,13,9,0.8
169,400,no_priors,no_fit,char,40,SNJ,13,10,0.953
170,400,no_priors,no_fit,char,40,SNJ,13,11,0.673
171,400,no_priors,no_fit,char,40,SNJ,13,12,0.855
172,400,no_priors,no_fit,char,40,SNJ,13,13,0.7
173,400,no_priors,no_fit,char,40,SNJ,13,14,0.692
174,400,no_priors,no_fit,char,40,SNJ,14,0,1.0
175,400,no_priors,no_fit,char,40,SNJ,14,1,0.876
176,400,no_priors,no_fit,char,40,SNJ,14,2,0.628
177,400,no_priors,no_fit,char,40,SNJ,14,3,0.866
178,400,no_priors,no_fit,char,40,SNJ,14,4,0.912
179,400,no_priors,no_fit,char,40,SNJ,14,5,0.961
180,400,no_priors,no_fit,char,40,SNJ,14,6,0.69
181,400,no_priors,no_fit,char,40,SNJ,15,0,1.0
182,400,no_priors,no_fit,char,40,SNJ,15,1,0.859
183,400,no_priors,no_fit,char,40,SNJ,15,2,0.947
184,400,no_priors,no_fit,char,40,SNJ,15,3,0.947
185,400,no_priors,no_fit,char,40,SNJ,15,4,0.903
186,400,no_priors,no_fit,char,40,SNJ,15,5,0.821
187,400,no_priors,no_fit,char,40,SNJ,15,6,0.939
188,400,no_priors,no_fit,char,40,SNJ,15,7,0.545
189,400,no_priors,no_fit,char,40,SNJ,15,8,0.941
190,400,no_priors,no_fit,char,40,SNJ,15,9,0.74
191,400,no_priors,no_fit,char,40,SNJ,16,0,0.774
192,400,no_priors,no_fit,char,40,SNJ,16,1,0.656
193,400,no_priors,no_fit,char,40,SNJ,16,2,1.0
194,400,no_priors,no_fit,char,40,SNJ,16,3,0.965
195,400,no_priors,no_fit,char,40,SNJ,16,4,0.714
196,400,no_priors,no_fit,char,40,SNJ,16,5,0.807
197,400,no_priors,no_fit,char,40,SNJ,16,6,0.877
198,400,no_priors,no_fit,char,40,SNJ,16,7,0.932
199,400,no_priors,no_fit,char,40,SNJ,16,8,0.62
200,400,no_priors,no_fit,char,40,SNJ,17,0,1.0
201,400,no_priors,no_fit,char,40,SNJ,17,1,1.0
202,400,no_priors,no_fit,char,40,SNJ,17,2,0.99
203,400,no_priors,no_fit,char,40,SNJ,17,3,0.912
204,400,no_priors,no_fit,char,40,SNJ,17,4,0.886
205,400,no_priors,no_fit,char,40,SNJ,17,5,0.644
206,400,no_priors,no_fit,char,40,SNJ,17,6,0.883
207,400,no_priors,no_fit,char,40,SNJ,17,7,0.639
208,400,no_priors,no_fit,char,40,SNJ,17,8,0.6
209,400,no_priors,no_fit,char,40,SNJ,17,9,0.599
210,400,no_priors,no_fit,char,40,SNJ,17,10,0.664
211,400,no_priors,no_fit,char,40,SNJ,17,11,0.797
