,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,285,699,0.40772532188841204
1,400,no_priors,no_fit,char,40,SNJ,1,316,696,0.4540229885057471
2,400,no_priors,no_fit,char,40,SNJ,2,253,701,0.3609129814550642
3,400,no_priors,no_fit,char,40,SNJ,3,288,696,0.41379310344827586
4,400,no_priors,no_fit,char,40,SNJ,4,242,712,0.3398876404494382
5,400,no_priors,no_fit,char,40,SNJ,5,326,682,0.4780058651026393
6,400,no_priors,no_fit,char,40,SNJ,6,238,716,0.3324022346368715
7,400,no_priors,no_fit,char,40,SNJ,7,247,709,0.34837799717912554
8,400,no_priors,no_fit,char,40,SNJ,8,322,706,0.45609065155807366
9,400,no_priors,no_fit,char,40,SNJ,9,208,734,0.28337874659400547
10,400,no_priors,no_fit,char,40,SNJ,10,289,677,0.42688330871491875
11,400,no_priors,no_fit,char,40,SNJ,11,264,706,0.37393767705382436
12,400,no_priors,no_fit,char,40,SNJ,12,228,720,0.31666666666666665
13,400,no_priors,no_fit,char,40,SNJ,13,298,696,0.4281609195402299
14,400,no_priors,no_fit,char,40,SNJ,14,308,704,0.4375
15,400,no_priors,no_fit,char,40,SNJ,15,222,732,0.30327868852459017
16,400,no_priors,no_fit,char,40,SNJ,16,246,714,0.3445378151260504
17,400,no_priors,no_fit,char,40,SNJ,17,328,662,0.4954682779456193
18,400,no_priors,no_fit,char,40,SNJ,18,285,693,0.41125541125541126
19,400,no_priors,no_fit,char,40,SNJ,19,248,724,0.3425414364640884
20,400,no_priors,no_fit,char,40,SNJ,20,261,703,0.3712660028449502
21,400,no_priors,no_fit,char,40,SNJ,21,239,729,0.3278463648834019
22,400,no_priors,no_fit,char,40,SNJ,22,327,673,0.48588410104011887
23,400,no_priors,no_fit,char,40,SNJ,23,300,700,0.42857142857142855
24,400,no_priors,no_fit,char,40,SNJ,24,246,724,0.3397790055248619
25,400,no_priors,no_fit,char,40,SNJ,25,243,709,0.3427362482369535
26,400,no_priors,no_fit,char,40,SNJ,26,316,686,0.4606413994169096
27,400,no_priors,no_fit,char,40,SNJ,27,307,689,0.4455732946298984
28,400,no_priors,no_fit,char,40,SNJ,28,314,704,0.4460227272727273
29,400,no_priors,no_fit,char,40,SNJ,29,237,713,0.332398316970547
30,400,no_priors,no_fit,char,40,SNJ,30,264,710,0.37183098591549296
31,400,no_priors,no_fit,char,40,SNJ,31,278,706,0.3937677053824363
32,400,no_priors,no_fit,char,40,SNJ,32,262,708,0.3700564971751412
33,400,no_priors,no_fit,char,40,SNJ,33,317,703,0.45092460881934565
34,400,no_priors,no_fit,char,40,SNJ,34,251,713,0.3520336605890603
35,400,no_priors,no_fit,char,40,SNJ,35,250,700,0.35714285714285715
36,400,no_priors,no_fit,char,40,SNJ,36,319,707,0.4512022630834512
37,400,no_priors,no_fit,char,40,SNJ,37,295,699,0.4220314735336195
38,400,no_priors,no_fit,char,40,SNJ,38,275,691,0.3979739507959479
39,400,no_priors,no_fit,char,40,SNJ,39,245,711,0.34458509142053445
40,400,no_priors,no_fit,char,40,SNJ,40,309,699,0.44206008583690987
41,400,no_priors,no_fit,char,40,SNJ,41,242,712,0.3398876404494382
42,400,no_priors,no_fit,char,40,SNJ,42,351,677,0.518463810930576
43,400,no_priors,no_fit,char,40,SNJ,43,276,708,0.3898305084745763
44,400,no_priors,no_fit,char,40,SNJ,44,262,696,0.3764367816091954
45,400,no_priors,no_fit,char,40,SNJ,45,234,718,0.32590529247910865
46,400,no_priors,no_fit,char,40,SNJ,46,249,721,0.34535367545076284
47,400,no_priors,no_fit,char,40,SNJ,47,299,683,0.4377745241581259
48,400,no_priors,no_fit,char,40,SNJ,48,246,724,0.3397790055248619
49,400,no_priors,no_fit,char,40,SNJ,49,282,702,0.4017094017094017
