,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,227,1195,0.1899581589958159
1,400,no_priors,no_fit,char,40,SNJ,1,35,289,0.12110726643598616
2,400,no_priors,no_fit,char,40,SNJ,2,242,1490,0.16241610738255033
3,400,no_priors,no_fit,char,40,SNJ,3,144,838,0.1718377088305489
4,400,no_priors,no_fit,char,40,SNJ,4,36,222,0.16216216216216217
5,400,no_priors,no_fit,char,40,SNJ,5,50,234,0.21367521367521367
6,400,no_priors,no_fit,char,40,SNJ,6,141,843,0.16725978647686832
7,400,no_priors,no_fit,char,40,SNJ,7,52,286,0.18181818181818182
8,400,no_priors,no_fit,char,40,SNJ,8,114,626,0.18210862619808307
9,400,no_priors,no_fit,char,40,SNJ,9,86,406,0.21182266009852216
10,400,no_priors,no_fit,char,40,SNJ,10,182,1078,0.16883116883116883
11,400,no_priors,no_fit,char,40,SNJ,11,377,2011,0.18746892093485829
12,400,no_priors,no_fit,char,40,SNJ,12,186,1058,0.17580340264650285
13,400,no_priors,no_fit,char,40,SNJ,13,262,1540,0.17012987012987013
14,400,no_priors,no_fit,char,40,SNJ,14,30,120,0.25
15,400,no_priors,no_fit,char,40,SNJ,15,70,456,0.15350877192982457
16,400,no_priors,no_fit,char,40,SNJ,16,44,250,0.176
17,400,no_priors,no_fit,char,40,SNJ,17,115,815,0.1411042944785276
18,400,no_priors,no_fit,char,40,SNJ,18,28,204,0.13725490196078433
19,400,no_priors,no_fit,char,40,SNJ,19,33,207,0.15942028985507245
20,400,no_priors,no_fit,char,40,SNJ,20,26,202,0.12871287128712872
21,400,no_priors,no_fit,char,40,SNJ,21,126,750,0.168
22,400,no_priors,no_fit,char,40,SNJ,22,336,2046,0.16422287390029325
23,400,no_priors,no_fit,char,40,SNJ,23,173,1169,0.14798973481608213
24,400,no_priors,no_fit,char,40,SNJ,24,52,310,0.16774193548387098
25,400,no_priors,no_fit,char,40,SNJ,25,37,237,0.15611814345991562
26,400,no_priors,no_fit,char,40,SNJ,26,64,398,0.16080402010050251
27,400,no_priors,no_fit,char,40,SNJ,27,132,730,0.18082191780821918
28,400,no_priors,no_fit,char,40,SNJ,28,84,520,0.16153846153846155
29,400,no_priors,no_fit,char,40,SNJ,29,132,922,0.14316702819956617
30,400,no_priors,no_fit,char,40,SNJ,30,214,1254,0.17065390749601275
31,400,no_priors,no_fit,char,40,SNJ,31,150,886,0.16930022573363432
32,400,no_priors,no_fit,char,40,SNJ,32,67,341,0.19648093841642228
33,400,no_priors,no_fit,char,40,SNJ,33,15,83,0.18072289156626506
34,400,no_priors,no_fit,char,40,SNJ,34,38,266,0.14285714285714285
35,400,no_priors,no_fit,char,40,SNJ,35,203,1169,0.17365269461077845
36,400,no_priors,no_fit,char,40,SNJ,36,137,697,0.19655667144906744
37,400,no_priors,no_fit,char,40,SNJ,37,96,514,0.1867704280155642
38,400,no_priors,no_fit,char,40,SNJ,38,51,411,0.12408759124087591
39,400,no_priors,no_fit,char,40,SNJ,39,140,730,0.1917808219178082
40,400,no_priors,no_fit,char,40,SNJ,40,99,531,0.1864406779661017
41,400,no_priors,no_fit,char,40,SNJ,41,75,453,0.16556291390728478
42,400,no_priors,no_fit,char,40,SNJ,42,130,634,0.20504731861198738
43,400,no_priors,no_fit,char,40,SNJ,43,201,1053,0.1908831908831909
44,400,no_priors,no_fit,char,40,SNJ,44,272,1722,0.15795586527293845
45,400,no_priors,no_fit,char,40,SNJ,45,41,203,0.2019704433497537
46,400,no_priors,no_fit,char,40,SNJ,46,213,1207,0.17647058823529413
47,400,no_priors,no_fit,char,40,SNJ,47,288,1642,0.1753958587088916
48,400,no_priors,no_fit,char,40,SNJ,48,22,138,0.15942028985507245
49,400,no_priors,no_fit,char,40,SNJ,49,146,782,0.1867007672634271
