,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.611
1,400,no_priors,no_fit,char,40,SNJ,0,1,0.962
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.996
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.882
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.889
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.667
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.701
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.853
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.777
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.869
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.916
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.91
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.771
13,400,no_priors,no_fit,char,40,SNJ,0,13,0.513
14,400,no_priors,no_fit,char,40,SNJ,1,0,0.754
15,400,no_priors,no_fit,char,40,SNJ,1,1,1.0
16,400,no_priors,no_fit,char,40,SNJ,1,2,0.857
17,400,no_priors,no_fit,char,40,SNJ,1,3,0.885
18,400,no_priors,no_fit,char,40,SNJ,1,4,0.86
19,400,no_priors,no_fit,char,40,SNJ,1,5,0.764
20,400,no_priors,no_fit,char,40,SNJ,1,6,0.782
21,400,no_priors,no_fit,char,40,SNJ,1,7,0.591
22,400,no_priors,no_fit,char,40,SNJ,2,0,1.0
23,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
24,400,no_priors,no_fit,char,40,SNJ,2,2,0.798
25,400,no_priors,no_fit,char,40,SNJ,2,3,0.948
26,400,no_priors,no_fit,char,40,SNJ,2,4,0.706
27,400,no_priors,no_fit,char,40,SNJ,2,5,0.977
28,400,no_priors,no_fit,char,40,SNJ,2,6,0.589
29,400,no_priors,no_fit,char,40,SNJ,2,7,0.84
30,400,no_priors,no_fit,char,40,SNJ,2,8,0.657
31,400,no_priors,no_fit,char,40,SNJ,2,9,0.729
32,400,no_priors,no_fit,char,40,SNJ,2,10,0.757
33,400,no_priors,no_fit,char,40,SNJ,2,11,0.826
34,400,no_priors,no_fit,char,40,SNJ,2,12,0.679
35,400,no_priors,no_fit,char,40,SNJ,2,13,0.805
36,400,no_priors,no_fit,char,40,SNJ,3,0,1.0
37,400,no_priors,no_fit,char,40,SNJ,3,1,1.0
38,400,no_priors,no_fit,char,40,SNJ,3,2,1.0
39,400,no_priors,no_fit,char,40,SNJ,3,3,0.711
40,400,no_priors,no_fit,char,40,SNJ,3,4,0.996
41,400,no_priors,no_fit,char,40,SNJ,3,5,0.976
42,400,no_priors,no_fit,char,40,SNJ,3,6,0.955
43,400,no_priors,no_fit,char,40,SNJ,3,7,0.847
44,400,no_priors,no_fit,char,40,SNJ,3,8,0.699
45,400,no_priors,no_fit,char,40,SNJ,3,9,0.822
46,400,no_priors,no_fit,char,40,SNJ,3,10,0.891
47,400,no_priors,no_fit,char,40,SNJ,3,11,0.843
48,400,no_priors,no_fit,char,40,SNJ,4,0,1.0
49,400,no_priors,no_fit,char,40,SNJ,4,1,0.775
50,400,no_priors,no_fit,char,40,SNJ,4,2,0.817
51,400,no_priors,no_fit,char,40,SNJ,4,3,0.656
52,400,no_priors,no_fit,char,40,SNJ,4,4,0.983
53,400,no_priors,no_fit,char,40,SNJ,4,5,0.888
54,400,no_priors,no_fit,char,40,SNJ,4,6,0.674
55,400,no_priors,no_fit,char,40,SNJ,4,7,0.627
56,400,no_priors,no_fit,char,40,SNJ,4,8,0.711
57,400,no_priors,no_fit,char,40,SNJ,4,9,0.91
58,400,no_priors,no_fit,char,40,SNJ,5,0,1.0
59,400,no_priors,no_fit,char,40,SNJ,5,1,0.516
60,400,no_priors,no_fit,char,40,SNJ,5,2,0.384
61,400,no_priors,no_fit,char,40,SNJ,5,3,0.478
62,400,no_priors,no_fit,char,40,SNJ,5,4,0.703
63,400,no_priors,no_fit,char,40,SNJ,5,5,0.764
64,400,no_priors,no_fit,char,40,SNJ,5,6,0.713
65,400,no_priors,no_fit,char,40,SNJ,5,7,0.708
66,400,no_priors,no_fit,char,40,SNJ,5,8,0.934
67,400,no_priors,no_fit,char,40,SNJ,6,0,0.821
68,400,no_priors,no_fit,char,40,SNJ,6,1,0.739
