,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,372,664,0.5602409638554217
1,400,no_priors,no_fit,char,40,SNJ,1,321,679,0.4727540500736377
2,400,no_priors,no_fit,char,40,SNJ,2,336,676,0.4970414201183432
3,400,no_priors,no_fit,char,40,SNJ,3,349,675,0.5170370370370371
4,400,no_priors,no_fit,char,40,SNJ,4,343,677,0.5066469719350074
5,400,no_priors,no_fit,char,40,SNJ,5,385,659,0.5842185128983308
6,400,no_priors,no_fit,char,40,SNJ,6,349,657,0.5312024353120244
7,400,no_priors,no_fit,char,40,SNJ,7,358,662,0.540785498489426
8,400,no_priors,no_fit,char,40,SNJ,8,389,665,0.5849624060150376
9,400,no_priors,no_fit,char,40,SNJ,9,343,679,0.5051546391752577
10,400,no_priors,no_fit,char,40,SNJ,10,380,664,0.572289156626506
11,400,no_priors,no_fit,char,40,SNJ,11,363,663,0.5475113122171946
12,400,no_priors,no_fit,char,40,SNJ,12,359,687,0.5225618631732168
13,400,no_priors,no_fit,char,40,SNJ,13,371,671,0.5529061102831595
14,400,no_priors,no_fit,char,40,SNJ,14,405,679,0.5964653902798233
15,400,no_priors,no_fit,char,40,SNJ,15,332,678,0.4896755162241888
16,400,no_priors,no_fit,char,40,SNJ,16,348,680,0.5117647058823529
17,400,no_priors,no_fit,char,40,SNJ,17,403,653,0.6171516079632465
18,400,no_priors,no_fit,char,40,SNJ,18,378,664,0.5692771084337349
19,400,no_priors,no_fit,char,40,SNJ,19,341,673,0.5066864784546805
20,400,no_priors,no_fit,char,40,SNJ,20,361,669,0.5396113602391629
21,400,no_priors,no_fit,char,40,SNJ,21,357,683,0.5226939970717424
22,400,no_priors,no_fit,char,40,SNJ,22,378,670,0.564179104477612
23,400,no_priors,no_fit,char,40,SNJ,23,357,669,0.5336322869955157
24,400,no_priors,no_fit,char,40,SNJ,24,350,684,0.5116959064327485
25,400,no_priors,no_fit,char,40,SNJ,25,302,690,0.43768115942028984
26,400,no_priors,no_fit,char,40,SNJ,26,335,665,0.5037593984962406
27,400,no_priors,no_fit,char,40,SNJ,27,363,663,0.5475113122171946
28,400,no_priors,no_fit,char,40,SNJ,28,346,660,0.5242424242424243
29,400,no_priors,no_fit,char,40,SNJ,29,356,682,0.5219941348973607
30,400,no_priors,no_fit,char,40,SNJ,30,334,682,0.4897360703812317
31,400,no_priors,no_fit,char,40,SNJ,31,361,673,0.5364041604754829
32,400,no_priors,no_fit,char,40,SNJ,32,346,678,0.5103244837758112
33,400,no_priors,no_fit,char,40,SNJ,33,364,670,0.5432835820895522
34,400,no_priors,no_fit,char,40,SNJ,34,345,683,0.5051244509516838
35,400,no_priors,no_fit,char,40,SNJ,35,342,682,0.501466275659824
36,400,no_priors,no_fit,char,40,SNJ,36,382,676,0.5650887573964497
37,400,no_priors,no_fit,char,40,SNJ,37,359,665,0.5398496240601504
38,400,no_priors,no_fit,char,40,SNJ,38,329,685,0.4802919708029197
39,400,no_priors,no_fit,char,40,SNJ,39,333,673,0.4947994056463596
40,400,no_priors,no_fit,char,40,SNJ,40,386,670,0.5761194029850746
41,400,no_priors,no_fit,char,40,SNJ,41,366,680,0.538235294117647
42,400,no_priors,no_fit,char,40,SNJ,42,370,658,0.5623100303951368
43,400,no_priors,no_fit,char,40,SNJ,43,351,665,0.5278195488721804
44,400,no_priors,no_fit,char,40,SNJ,44,338,678,0.49852507374631266
45,400,no_priors,no_fit,char,40,SNJ,45,332,674,0.49258160237388726
46,400,no_priors,no_fit,char,40,SNJ,46,365,683,0.5344070278184481
47,400,no_priors,no_fit,char,40,SNJ,47,383,667,0.5742128935532234
48,400,no_priors,no_fit,char,40,SNJ,48,370,690,0.5362318840579711
49,400,no_priors,no_fit,char,40,SNJ,49,324,672,0.48214285714285715
