,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.393
1,400,no_priors,no_fit,char,40,SNJ,0,1,0.574
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.45
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.561
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.606
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.726
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.866
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.7
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.732
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.821
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.762
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.803
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.19
13,400,no_priors,no_fit,char,40,SNJ,1,0,0.897
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.365
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.506
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.661
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.832
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.705
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.553
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.544
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.914
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.693
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.832
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.554
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.337
26,400,no_priors,no_fit,char,40,SNJ,2,1,0.492
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.568
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.868
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.723
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.495
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.52
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.687
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.685
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.717
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.571
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.356
37,400,no_priors,no_fit,char,40,SNJ,3,0,0.94
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.619
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.964
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.712
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.87
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.459
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.696
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.832
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.639
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.433
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.724
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.513
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.178
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.289
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.442
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.551
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.745
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.43
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.563
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.472
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.773
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.53
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.482
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.795
61,400,no_priors,no_fit,char,40,SNJ,5,0,0.923
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.799
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.63
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.834
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.367
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.548
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.591
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.499
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.523
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.602
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.609
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.247
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.391
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.27
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.474
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.606
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.556
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.301
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.351
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.455
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.728
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.625
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.524
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.622
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.603
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.345
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.126
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.169
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.462
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.397
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.509
