,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,503,651,0.7726574500768049
1,400,no_priors,no_fit,char,40,SNJ,1,444,634,0.7003154574132492
2,400,no_priors,no_fit,char,40,SNJ,2,479,665,0.7203007518796992
3,400,no_priors,no_fit,char,40,SNJ,3,466,664,0.7018072289156626
4,400,no_priors,no_fit,char,40,SNJ,4,447,663,0.6742081447963801
5,400,no_priors,no_fit,char,40,SNJ,5,479,651,0.7357910906298003
6,400,no_priors,no_fit,char,40,SNJ,6,467,663,0.7043740573152338
7,400,no_priors,no_fit,char,40,SNJ,7,469,651,0.7204301075268817
8,400,no_priors,no_fit,char,40,SNJ,8,478,666,0.7177177177177178
9,400,no_priors,no_fit,char,40,SNJ,9,438,660,0.6636363636363637
10,400,no_priors,no_fit,char,40,SNJ,10,460,646,0.7120743034055728
11,400,no_priors,no_fit,char,40,SNJ,11,494,658,0.7507598784194529
12,400,no_priors,no_fit,char,40,SNJ,12,456,650,0.7015384615384616
13,400,no_priors,no_fit,char,40,SNJ,13,485,655,0.7404580152671756
14,400,no_priors,no_fit,char,40,SNJ,14,496,666,0.7447447447447447
15,400,no_priors,no_fit,char,40,SNJ,15,459,657,0.6986301369863014
16,400,no_priors,no_fit,char,40,SNJ,16,436,642,0.6791277258566978
17,400,no_priors,no_fit,char,40,SNJ,17,494,644,0.7670807453416149
18,400,no_priors,no_fit,char,40,SNJ,18,461,651,0.7081413210445469
19,400,no_priors,no_fit,char,40,SNJ,19,457,659,0.6934749620637329
20,400,no_priors,no_fit,char,40,SNJ,20,450,654,0.6880733944954128
21,400,no_priors,no_fit,char,40,SNJ,21,478,658,0.7264437689969605
22,400,no_priors,no_fit,char,40,SNJ,22,464,656,0.7073170731707317
23,400,no_priors,no_fit,char,40,SNJ,23,436,644,0.6770186335403726
24,400,no_priors,no_fit,char,40,SNJ,24,479,639,0.7496087636932708
25,400,no_priors,no_fit,char,40,SNJ,25,429,655,0.6549618320610687
26,400,no_priors,no_fit,char,40,SNJ,26,481,645,0.7457364341085271
27,400,no_priors,no_fit,char,40,SNJ,27,463,653,0.7090352220520674
28,400,no_priors,no_fit,char,40,SNJ,28,463,665,0.6962406015037594
29,400,no_priors,no_fit,char,40,SNJ,29,480,664,0.7228915662650602
30,400,no_priors,no_fit,char,40,SNJ,30,469,649,0.7226502311248074
31,400,no_priors,no_fit,char,40,SNJ,31,472,652,0.7239263803680982
32,400,no_priors,no_fit,char,40,SNJ,32,451,641,0.7035881435257411
33,400,no_priors,no_fit,char,40,SNJ,33,466,648,0.7191358024691358
34,400,no_priors,no_fit,char,40,SNJ,34,481,667,0.7211394302848576
35,400,no_priors,no_fit,char,40,SNJ,35,458,660,0.693939393939394
36,400,no_priors,no_fit,char,40,SNJ,36,459,651,0.7050691244239631
37,400,no_priors,no_fit,char,40,SNJ,37,489,655,0.7465648854961832
38,400,no_priors,no_fit,char,40,SNJ,38,437,667,0.6551724137931034
39,400,no_priors,no_fit,char,40,SNJ,39,468,652,0.7177914110429447
40,400,no_priors,no_fit,char,40,SNJ,40,485,657,0.7382039573820396
41,400,no_priors,no_fit,char,40,SNJ,41,475,663,0.7164404223227753
42,400,no_priors,no_fit,char,40,SNJ,42,476,662,0.7190332326283988
43,400,no_priors,no_fit,char,40,SNJ,43,455,653,0.6967840735068913
44,400,no_priors,no_fit,char,40,SNJ,44,444,646,0.6873065015479877
45,400,no_priors,no_fit,char,40,SNJ,45,463,649,0.7134052388289677
46,400,no_priors,no_fit,char,40,SNJ,46,462,656,0.7042682926829268
47,400,no_priors,no_fit,char,40,SNJ,47,489,657,0.7442922374429224
48,400,no_priors,no_fit,char,40,SNJ,48,449,657,0.6834094368340944
49,400,no_priors,no_fit,char,40,SNJ,49,448,646,0.6934984520123839
