,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,UnNormalizedRobinsonFoulds,MaxRobinsonFoulds,NormalizedRobinsonFoulds
0,400,no_priors,no_fit,char,40,SNJ,0,429,637,0.673469387755102
1,400,no_priors,no_fit,char,40,SNJ,1,351,641,0.5475819032761311
2,400,no_priors,no_fit,char,40,SNJ,2,394,630,0.6253968253968254
3,400,no_priors,no_fit,char,40,SNJ,3,397,635,0.6251968503937008
4,400,no_priors,no_fit,char,40,SNJ,4,384,628,0.6114649681528662
5,400,no_priors,no_fit,char,40,SNJ,5,453,645,0.7023255813953488
6,400,no_priors,no_fit,char,40,SNJ,6,398,644,0.6180124223602484
7,400,no_priors,no_fit,char,40,SNJ,7,418,628,0.6656050955414012
8,400,no_priors,no_fit,char,40,SNJ,8,452,636,0.710691823899371
9,400,no_priors,no_fit,char,40,SNJ,9,418,656,0.6371951219512195
10,400,no_priors,no_fit,char,40,SNJ,10,427,637,0.6703296703296703
11,400,no_priors,no_fit,char,40,SNJ,11,400,640,0.625
12,400,no_priors,no_fit,char,40,SNJ,12,388,654,0.5932721712538226
13,400,no_priors,no_fit,char,40,SNJ,13,405,641,0.6318252730109204
14,400,no_priors,no_fit,char,40,SNJ,14,449,653,0.6875957120980092
15,400,no_priors,no_fit,char,40,SNJ,15,388,632,0.6139240506329114
16,400,no_priors,no_fit,char,40,SNJ,16,390,630,0.6190476190476191
17,400,no_priors,no_fit,char,40,SNJ,17,446,626,0.7124600638977636
18,400,no_priors,no_fit,char,40,SNJ,18,410,626,0.6549520766773163
19,400,no_priors,no_fit,char,40,SNJ,19,406,636,0.6383647798742138
20,400,no_priors,no_fit,char,40,SNJ,20,408,648,0.6296296296296297
21,400,no_priors,no_fit,char,40,SNJ,21,399,665,0.6
22,400,no_priors,no_fit,char,40,SNJ,22,422,638,0.6614420062695925
23,400,no_priors,no_fit,char,40,SNJ,23,417,639,0.6525821596244131
24,400,no_priors,no_fit,char,40,SNJ,24,417,649,0.6425269645608629
25,400,no_priors,no_fit,char,40,SNJ,25,360,626,0.5750798722044729
26,400,no_priors,no_fit,char,40,SNJ,26,403,641,0.6287051482059283
27,400,no_priors,no_fit,char,40,SNJ,27,429,645,0.6651162790697674
28,400,no_priors,no_fit,char,40,SNJ,28,401,635,0.631496062992126
29,400,no_priors,no_fit,char,40,SNJ,29,408,648,0.6296296296296297
30,400,no_priors,no_fit,char,40,SNJ,30,381,643,0.5925349922239502
31,400,no_priors,no_fit,char,40,SNJ,31,379,643,0.5894245723172629
32,400,no_priors,no_fit,char,40,SNJ,32,414,624,0.6634615384615384
33,400,no_priors,no_fit,char,40,SNJ,33,410,644,0.6366459627329193
34,400,no_priors,no_fit,char,40,SNJ,34,399,653,0.6110260336906586
35,400,no_priors,no_fit,char,40,SNJ,35,405,655,0.6183206106870229
36,400,no_priors,no_fit,char,40,SNJ,36,420,630,0.6666666666666666
37,400,no_priors,no_fit,char,40,SNJ,37,396,636,0.6226415094339622
38,400,no_priors,no_fit,char,40,SNJ,38,394,654,0.6024464831804281
39,400,no_priors,no_fit,char,40,SNJ,39,367,631,0.5816164817749604
40,400,no_priors,no_fit,char,40,SNJ,40,405,629,0.643879173290938
41,400,no_priors,no_fit,char,40,SNJ,41,399,649,0.6147919876733436
42,400,no_priors,no_fit,char,40,SNJ,42,426,626,0.6805111821086262
43,400,no_priors,no_fit,char,40,SNJ,43,387,635,0.6094488188976378
44,400,no_priors,no_fit,char,40,SNJ,44,376,634,0.5930599369085173
45,400,no_priors,no_fit,char,40,SNJ,45,405,643,0.6298600311041991
46,400,no_priors,no_fit,char,40,SNJ,46,404,648,0.6234567901234568
47,400,no_priors,no_fit,char,40,SNJ,47,430,622,0.6913183279742765
48,400,no_priors,no_fit,char,40,SNJ,48,399,663,0.6018099547511312
49,400,no_priors,no_fit,char,40,SNJ,49,385,649,0.5932203389830508
