,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,0.113
1,400,no_priors,no_fit,char,40,SNJ,0,1,0.117
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.166
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.229
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.423
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.636
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.607
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.453
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.486
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.528
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.38
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.623
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.303
13,400,no_priors,no_fit,char,40,SNJ,1,0,0.682
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.422
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.316
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.3
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.551
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.565
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.386
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.408
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.836
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.657
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.826
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.435
25,400,no_priors,no_fit,char,40,SNJ,2,0,0.125
26,400,no_priors,no_fit,char,40,SNJ,2,1,0.269
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.19
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.315
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.49
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.356
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.428
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.582
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.567
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.448
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.485
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.366
37,400,no_priors,no_fit,char,40,SNJ,3,0,0.142
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.223
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.429
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.305
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.416
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.408
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.582
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.611
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.394
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.428
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.581
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.376
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.051
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.08
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.157
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.22
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.22
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.261
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.378
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.149
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.38
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.339
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.336
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.602
61,400,no_priors,no_fit,char,40,SNJ,5,0,0.157
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.31
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.352
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.704
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.342
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.447
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.385
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.459
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.422
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.538
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.467
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.059
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.065
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.123
